Scenario,Method,Metric,NSeeds,Mean,SD,CI95_Low,CI95_High
adaptive_slow_drift@0.3,Async-Stale,MacroAUROC,10,0.9512493580544895,0.010044813887226346,0.9440637310708946,0.9584349850380844
adaptive_slow_drift@0.3,Async-Stale,MacroF1,10,0.5260254070101914,0.054870881597807716,0.4867731429215311,0.5652776710988516
adaptive_slow_drift@0.3,Async-Stale,MacroFPR,10,0.10162579406642465,0.010424850346974187,0.09416830537682172,0.10908328275602758
adaptive_slow_drift@0.3,CoordMedian,MacroAUROC,10,0.9536609512853449,0.0035037440969525203,0.9511545237487741,0.9561673788219157
adaptive_slow_drift@0.3,CoordMedian,MacroF1,10,0.5618708918139237,0.06673389685341688,0.5141323378363184,0.609609445791529
adaptive_slow_drift@0.3,CoordMedian,MacroFPR,10,0.08087645968674417,0.012097878559992276,0.07222215871104543,0.08953076066244292
adaptive_slow_drift@0.3,FedAvg,MacroAUROC,10,0.9541728613663109,0.005046386477730468,0.9505628939491801,0.9577828287834416
adaptive_slow_drift@0.3,FedAvg,MacroF1,10,0.5352994463045863,0.06257024187353614,0.49053939167099136,0.5800595009381811
adaptive_slow_drift@0.3,FedAvg,MacroFPR,10,0.10120031239179003,0.008361070702025806,0.09521916272363909,0.10718146205994097
adaptive_slow_drift@0.3,MultiKrum,MacroAUROC,10,0.9502412473756208,0.004027316542245149,0.9473602786745247,0.9531222160767169
adaptive_slow_drift@0.3,MultiKrum,MacroF1,10,0.5511117168222122,0.049376750751690464,0.5157897171767254,0.5864337164676989
adaptive_slow_drift@0.3,MultiKrum,MacroFPR,10,0.07883502509517498,0.00800816234329102,0.07310633085862599,0.08456371933172398
adaptive_slow_drift@0.3,RawTrust,MacroAUROC,10,0.9553196438559336,0.0066679634204145945,0.9505496701742624,0.9600896175376048
adaptive_slow_drift@0.3,RawTrust,MacroF1,10,0.5508068228718317,0.05955365139519081,0.5082047070694597,0.5934089386742036
adaptive_slow_drift@0.3,RawTrust,MacroFPR,10,0.09555459869892577,0.00991979132425593,0.08845840746915606,0.10265078992869547
adaptive_slow_drift@0.3,TrimmedMean,MacroAUROC,10,0.9547447990738966,0.0027293452685127235,0.9527923430872395,0.9566972550605538
adaptive_slow_drift@0.3,TrimmedMean,MacroF1,10,0.6211015156930333,0.04486494008784572,0.5890070709644397,0.6531959604216269
adaptive_slow_drift@0.3,TrimmedMean,MacroFPR,10,0.07831351703576911,0.00819896719347269,0.07244832923194658,0.08417870483959164
collusive_scale@0.3,AgriTrust-ACFL,MacroAUROC,10,0.9572237742446715,0.002723463812353821,0.9552755255982949,0.9591720228910482
collusive_scale@0.3,AgriTrust-ACFL,MacroF1,10,0.5621068521491879,0.06559022777658388,0.5151864297438603,0.6090272745545154
collusive_scale@0.3,AgriTrust-ACFL,MacroFPR,10,0.0952371809113206,0.01296405450584272,0.08596325499095676,0.10451110683168445
collusive_scale@0.3,Async-Stale,MacroAUROC,10,0.9039071335168538,0.06926825191537052,0.8543556111434535,0.9534586558902541
collusive_scale@0.3,Async-Stale,MacroF1,10,0.40957411674856664,0.10987755106048147,0.33097245178436474,0.48817578171276854
collusive_scale@0.3,Async-Stale,MacroFPR,10,0.11063587198120814,0.02858662779692553,0.09018623036775922,0.13108551359465706
collusive_scale@0.3,CoordMedian,MacroAUROC,10,0.9569150754898443,0.0022040278600334745,0.9553384089391787,0.95849174204051
collusive_scale@0.3,CoordMedian,MacroF1,10,0.637872435140513,0.04030805100508026,0.6090377924870986,0.6667070777939273
collusive_scale@0.3,CoordMedian,MacroFPR,10,0.08027353624278695,0.006449122724943905,0.07566011176393199,0.08488696072164191
collusive_scale@0.3,FedAvg,MacroAUROC,10,0.9166616747323143,0.06485560622406757,0.8702667689278673,0.9630565805367614
collusive_scale@0.3,FedAvg,MacroF1,10,0.4928835684583091,0.08724906500445269,0.4304693472663483,0.55529778965027
collusive_scale@0.3,FedAvg,MacroFPR,10,0.10086274083750277,0.017006283634650426,0.0886971783942591,0.11302830328074644
collusive_scale@0.3,MultiKrum,MacroAUROC,10,0.9585518994596367,0.0008484505402926805,0.9579449545062488,0.9591588444130246
collusive_scale@0.3,MultiKrum,MacroF1,10,0.6043669753891081,0.06009929964534865,0.5613745263427453,0.6473594244354709
collusive_scale@0.3,MultiKrum,MacroFPR,10,0.08062751584315898,0.01218943741990184,0.0719077176047195,0.08934731408159846
