Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
MultiKrum,0.5886865879082697,0.5997897588832639,0.6432158050397071,0.5997897588832639,0.46682043306845,0.949475439685806,0.0819918672051416,0.5257342410532485,32.442610025405884,17.28973388671875,22662,0.3,adaptive_slow_drift,"4,5,7",7,adaptive_slow_drift@0.3
Async-Stale,0.8118693537178596,0.5640232381969076,0.8657343996532143,0.5640232381969076,0.5363333982830902,0.9558304204232244,0.1088213402788916,0.5764053473548907,25.030909776687626,14.004684448242188,22662,0.3,adaptive_slow_drift,"4,5,7",7,adaptive_slow_drift@0.3
RawTrust,0.8277414871438499,0.6247807089403635,0.7275653075596322,0.6247807089403635,0.5743796164422997,0.9557361202835436,0.0889705456017662,0.3670581152724012,25.98804521560669,14.004684448242188,22662,0.3,adaptive_slow_drift,"4,5,7",7,adaptive_slow_drift@0.3
AgriTrust-ACFL,0.8295760945100764,0.6172284477064726,0.8301885711164131,0.6172284477064726,0.6026837664230776,0.9582657023250026,0.0980320312288231,0.4177424046872546,31.334025859832764,14.004684448242188,22662,0.3,adaptive_slow_drift,"4,5,7",7,adaptive_slow_drift@0.3
FedAvg,0.7291174426685199,0.1666666666666666,0.1215195737780866,0.1666666666666666,0.1405567612464164,0.5,0.1666666666666666,4.318514147092793,31.431739568710327,17.28973388671875,22662,0.3,sign_flip,"1,7,9",19,sign_flip@0.3
CoordMedian,0.7845170257123002,0.4424138750243206,0.4085380940531984,0.4424138750243206,0.4031748989818796,0.8467003921688661,0.1194934979715161,1.0212364935405336,31.476842403411865,17.28973388671875,22662,0.3,sign_flip,"1,7,9",19,sign_flip@0.3
TrimmedMean,0.7522446143154968,0.3329101446690754,0.2213404332200476,0.3329101446690754,0.2645764351328048,0.6552685080875087,0.1445765371996293,3.857473756207346,31.86082363128662,17.28973388671875,22662,0.3,sign_flip,"1,7,9",19,sign_flip@0.3
MultiKrum,0.7085476025017373,0.6606368210979922,0.7156428288858571,0.6606368210979922,0.6336293115166435,0.9574740162677868,0.0714826395403859,0.4418813709783696,32.43645429611206,17.28973388671875,22662,0.3,sign_flip,"1,7,9",19,sign_flip@0.3
Async-Stale,0.7407088255733149,0.2503723562840317,0.218376908766707,0.2503723562840317,0.2309428192167991,0.5819119848582948,0.1555427018965306,4.126359523080152,27.782660484313965,13.831787109375,22662,0.3,sign_flip,"1,7,9",19,sign_flip@0.3
RawTrust,0.7342043085476025,0.2030628480509148,0.2065529022754318,0.2030628480509148,0.1921328392280911,0.5932053772426756,0.1612997960987702,4.193079230814882,26.88540363311768,13.831787109375,22662,0.3,sign_flip,"1,7,9",19,sign_flip@0.3
AgriTrust-ACFL,0.5859346768589299,0.573056455868643,0.4274065159079587,0.573056455868643,0.4194963372754972,0.9440372575980608,0.0830299094049816,1.2375580295873896,33.807459354400635,13.831787109375,22662,0.3,sign_flip,"1,7,9",19,sign_flip@0.3
FedAvg,0.8106184850590687,0.5041224917372109,0.6990353846042298,0.5041224917372109,0.4655553591055152,0.9420511842586464,0.1046893726968182,1.0752925086772465,32.277600049972534,17.28973388671875,22662,0.3,model_replace,"1,7,9",19,model_replace@0.3
CoordMedian,0.6069492703266157,0.7096744383925686,0.7462718155712693,0.7096744383925686,0.6402665825376236,0.9595054389668096,0.0789865631632098,0.5575161187552384,32.232895612716675,17.28973388671875,22662,0.3,model_replace,"1,7,9",19,model_replace@0.3
TrimmedMean,0.7089923558026408,0.7130662450131986,0.7471992989648722,0.7130662450131986,0.6660907771881118,0.9594331393533024,0.069048271940432,0.4359035187002406,33.37258863449097,17.28973388671875,22662,0.3,model_replace,"1,7,9",19,model_replace@0.3
MultiKrum,0.7085476025017373,0.6606368210979922,0.7156428288858571,0.6606368210979922,0.6336293115166435,0.9574740162677868,0.0714826395403859,0.4418813709783696,31.79077410697937,17.28973388671875,22662,0.3,model_replace,"1,7,9",19,model_replace@0.3
Async-Stale,0.8036136205698402,0.50506700096398,0.4723351896855045,0.50506700096398,0.3854631870394243,0.9097254562366348,0.1015902555392837,0.8966814605616352,27.015892028808597,13.831787109375,22662,0.3,model_replace,"1,7,9",19,model_replace@0.3
RawTrust,0.7697567755385685,0.5448559459585594,0.4927357613494983,0.5448559459585594,0.4209236003274008,0.906134564191936,0.0812841973479533,0.7635422760245326,26.54672646522522,13.831787109375,22662,0.3,model_replace,"1,7,9",19,model_replace@0.3
AgriTrust-ACFL,0.590993745656706,0.6580853260208254,0.5316160336933614,0.6580853260208254,0.5212300493199459,0.9572164013559832,0.0816883487161171,0.9057979046217596,32.051196336746216,13.831787109375,22662,0.3,model_replace,"1,7,9",19,model_replace@0.3
FedAvg,0.7985545517720639,0.5190518883566138,0.6887645174586723,0.5190518883566138,0.4532417319898238,0.9379464538430924,0.1094508868122338,0.8409018193633334,30.882664442062374,17.28973388671875,22662,0.3,collusive_scale,"1,7,9",19,collusive_scale@0.3
CoordMedian,0.6051146629603892,0.6708166998841926,0.7670007646244744,0.6708166998841926,0.5942795988983168,0.9598471468705592,0.0793196428979737,0.5847927896007113,31.895164728164676,17.28973388671875,22662,0.3,collusive_scale,"1,7,9",19,collusive_scale@0.3
TrimmedMean,0.7766782487838777,0.610082529985917,0.629974480564523,0.610082529985917,0.5675912934913078,0.9561197688571262,0.070392025649815,0.4445476275566218,32.716214656829834,17.28973388671875,22662,0.3,collusive_scale,"1,7,9",19,collusive_scale@0.3
MultiKrum,0.7085476025017373,0.6606368210979922,0.7156428288858571,0.6606368210979922,0.6336293115166435,0.9574740162677868,0.0714826395403859,0.4418813709783696,31.90744090080261,17.28973388671875,22662,0.3,collusive_scale,"1,7,9",19,collusive_scale@0.3
Async-Stale,0.5606671299513551,0.5598848104946946,0.4613305229462852,0.5598848104946946,0.3669797939800026,0.9099464271233508,0.0866817107813114,1.2057089374008143,27.56721353530884,13.831787109375,22662,0.3,collusive_scale,"1,7,9",19,collusive_scale@0.3
RawTrust,0.8319944405837387,0.6216464961508613,0.7789358793815895,0.6216464961508613,0.5634853168903978,0.9590570978136918,0.0913124311375886,0.3613144157745568,27.59725332260132,13.831787109375,22662,0.3,collusive_scale,"1,7,9",19,collusive_scale@0.3
AgriTrust-ACFL,0.5896316886726893,0.6714592821379789,0.4941844198418397,0.6714592821379789,0.5057494986795543,0.9560313625392132,0.0817920687318009,1.2977211124196413,34.22645664215088,13.831787109375,22662,0.3,collusive_scale,"1,7,9",19,collusive_scale@0.3
FedAvg,0.8084781097984711,0.5007369293651281,0.6910835852981004,0.5007369293651281,0.4452357739265905,0.9511246082765756,0.1101212078484621,0.5830700844104441,32.445019483566284,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,7,9",19,adaptive_slow_drift@0.3
CoordMedian,0.6741348158443363,0.5777912408739562,0.5178390073548303,0.5777912408739562,0.4932739779863132,0.9523464228507827,0.0749049942304181,0.4646545294004487,31.85982918739319,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,7,9",19,adaptive_slow_drift@0.3
TrimmedMean,0.6282140375260598,0.6272288185821578,0.7795850829527512,0.6272288185821578,0.5755788504250972,0.9518267450547924,0.0802558530861794,0.4570604985897047,32.93623089790344,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,7,9",19,adaptive_slow_drift@0.3
MultiKrum,0.8264350243224461,0.5520019761477942,0.7136290911791748,0.5520019761477942,0.531881676508985,0.9494858258646168,0.0962399772821882,0.4950565290332746,32.64757704734802,17.28973388671875,22662,0.3,adaptive_slow_drift,"1,7,9",19,adaptive_slow_drift@0.3
Async-Stale,0.5957470465601112,0.6575014290624439,0.6484041085084161,0.6575014290624439,0.5820119639778621,0.9537184341017612,0.0814705465604968,0.6190856743947307,27.5915846824646,13.831787109375,22662,0.3,adaptive_slow_drift,"1,7,9",19,adaptive_slow_drift@0.3
RawTrust,0.8262682418346073,0.5205804348178992,0.7260892832231353,0.5205804348178992,0.4826269512847567,0.9557738323702748,0.0988968624676458,0.3756754533016738,28.026700258255005,13.831787109375,22662,0.3,adaptive_slow_drift,"1,7,9",19,adaptive_slow_drift@0.3
AgriTrust-ACFL,0.5899930507296733,0.6415124538325346,0.5376813483181765,0.6415124538325346,0.5090297350016643,0.9538210374437298,0.081838137473606,1.0691469205195954,34.100953102111816,13.831787109375,22662,0.3,adaptive_slow_drift,"1,7,9",19,adaptive_slow_drift@0.3
FedAvg,0.7291174426685199,0.1666666666666666,0.1215195737780866,0.1666666666666666,0.1405567612464164,0.5,0.1666666666666666,4.318514147092793,31.70708036422729,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
CoordMedian,0.5544961779013203,0.4829627292089369,0.5760134775808431,0.4829627292089369,0.3303823630856611,0.9496172927753594,0.0877907940324117,0.9356994394999262,33.01259136199951,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
TrimmedMean,0.7422098679638638,0.3372744584380602,0.4424166689915133,0.3372744584380602,0.2303772476166411,0.9305987186311044,0.1452220794647097,0.9931505746759114,31.88425374031067,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
MultiKrum,0.5887143849895761,0.6353410001695312,0.5618328114659552,0.6353410001695312,0.5050218613097087,0.9547866330859452,0.0819629862212167,1.4554535880954456,31.1553258895874,17.28973388671875,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
Async-Stale,0.7291174426685199,0.1666666666666666,0.1215195737780866,0.1666666666666666,0.1405567612464164,0.493272029563875,0.1666666666666666,4.318514147092793,26.32171440124512,14.350479125976562,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
RawTrust,0.730813064628214,0.1787987271280827,0.188487399997251,0.1787987271280827,0.1614213236821936,0.4804844695820289,0.1644863272345688,4.276002661688231,26.614452362060547,14.350479125976562,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
AgriTrust-ACFL,0.8236275191104934,0.5675715033290809,0.7685158699097289,0.5675715033290809,0.5524975314671636,0.9561481327099024,0.0970560643497368,0.3656910587270485,32.4320273399353,14.350479125976562,22662,0.3,sign_flip,"1,5,7",41,sign_flip@0.3
FedAvg,0.8091730368311327,0.5046485729521378,0.7939805666694403,0.5046485729521378,0.4521673719880647,0.938848077280888,0.1092573424101234,1.043841425661476,33.15920829772949,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
CoordMedian,0.6058373870743572,0.6774400124598973,0.7642190980774416,0.6774400124598973,0.6186973538477919,0.9541732993008056,0.0795824091392557,0.5358881921073677,32.460384368896484,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
TrimmedMean,0.683780403057679,0.7134788184510706,0.7516847912936032,0.7134788184510706,0.6692061910854878,0.9560899746408644,0.070447141943148,0.4664188120315993,31.974323987960812,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
MultiKrum,0.6104239054899235,0.6794307039250205,0.6769319547641691,0.6794307039250205,0.6150735506697907,0.957814534422183,0.078460496956446,0.5050686136612266,30.56153011322021,17.28973388671875,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
Async-Stale,0.6150938151494093,0.4555146412819811,0.3107215696634182,0.4555146412819811,0.3057787222856547,0.6826422184329134,0.1122385165985714,1.8901026429157144,26.647151708602905,14.350479125976562,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
RawTrust,0.7201111883252258,0.5370384252865982,0.3922283200292049,0.5370384252865982,0.4026544255199814,0.7829547707510165,0.0883022036618749,0.8874288820366418,26.831533193588257,14.350479125976562,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
AgriTrust-ACFL,0.8354690757470465,0.6286636391719501,0.8563995784981709,0.6286636391719501,0.6485255737744622,0.958201600957371,0.0944792507368196,0.360810117727328,32.380438804626465,14.350479125976562,22662,0.3,model_replace,"1,5,7",41,model_replace@0.3
FedAvg,0.8076441973592773,0.5269762561713411,0.6975844510713064,0.5269762561713411,0.4790567686093046,0.9399549858685788,0.1087026973183924,0.8371940389179804,33.86058497428894,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
CoordMedian,0.6055594162612926,0.6468883534245237,0.7753226512035752,0.6468883534245237,0.576279178119274,0.9563668708823778,0.0792173118910158,0.5996564067608448,31.43393325805664,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
TrimmedMean,0.5926893676164002,0.6115100847977231,0.6145124169401907,0.6115100847977231,0.5129491305647907,0.9267289493836484,0.08130790719956,1.1079249086221612,30.24484348297119,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
MultiKrum,0.6093676164002779,0.6761035770024036,0.679349285528911,0.6761035770024036,0.6047854613675082,0.9576253291298344,0.0786542209608403,0.5046796591475335,32.071555852890015,17.28973388671875,22662,0.3,collusive_scale,"1,5,7",41,collusive_scale@0.3
