Method,TrainSeconds,CommMB,Parameters,MacroF1,MacroAUROC,MacroFPR
FedAvg,104.44557094573975,69.158935546875,22662,0.5407678482684221,0.9604894213197651,0.09996819983703643
FedProx,129.13231921195984,69.158935546875,22662,0.5962453461148706,0.9591531939469125,0.09663932025849642
Async-Stale,85.50902795791626,57.056121826171875,22662,0.5621364339436831,0.9571419315535534,0.09855468657666738
CoordMedian,106.23384189605713,69.158935546875,22662,0.6604416912325591,0.9545995334845206,0.07891167048235488
TrimmedMean,106.1457622051239,69.158935546875,22662,0.6675779232317508,0.9600433614094569,0.0780846085775469
MultiKrum,105.78475975990295,69.158935546875,22662,0.5286862615167897,0.9583176544682148,0.08153989625347864
RawTrust,91.19349718093872,56.88322448730469,22662,0.5895340745852318,0.9577301366360773,0.09613576203408641
AgriTrust-ACFL,108.97529006004333,56.53742980957031,22662,0.6109064811443123,0.9587574519517754,0.09438960723629043
