Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,CleanContinuationMacroF1,AttackDamage
RawTrust,0.8096733842946491,0.5242296195357093,0.7229708629540988,0.5242296195357093,0.4833937497081213,0.9559320015410048,0.10961398558830347,0.6909316130250365,19.988085508346558,13.831787109375,22662,0.1,model_replace,9,0.4824162611040084,-0.0009774886041128972
AgriTrust-ACFL,0.8090896455872133,0.523800344053832,0.6443400285510181,0.523800344053832,0.4830834397767172,0.9568326477033287,0.11001014715353581,0.6592187549353298,25.36522388458252,13.831787109375,22662,0.1,model_replace,9,0.5644208041754983,0.08133736439878114
FedAvg,0.8115635858234885,0.5328223403614167,0.7302497235403463,0.5328223403614167,0.49809672150434986,0.957309451083999,0.10877124199206888,0.743141276023001,25.897330045700073,17.28973388671875,22662,0.1,gaussian,9,0.4981516167072207,5.4895202870830495e-05
CoordMedian,0.6064767199444059,0.6947626618351097,0.7439860802559372,0.6947626618351097,0.6359043379860657,0.9580631143386195,0.07903024383638511,0.5172259600584829,26.05030345916748,17.28973388671875,22662,0.1,gaussian,9,0.6384032484667285,0.0024989104806627527
TrimmedMean,0.6958165392633774,0.7102863913094821,0.7577984034987343,0.7102863913094821,0.6708530507121617,0.9596283726378059,0.06817154513014752,0.45629985065852774,26.24446129798889,17.28973388671875,22662,0.1,gaussian,9,0.6633467654102335,-0.007506285301928206
MultiKrum,0.5892981236970118,0.6466015864060108,0.5407144079432312,0.6466015864060108,0.5165840824043698,0.9568115949326579,0.08190325110964351,1.2005050867870306,25.5434627532959,17.28973388671875,22662,0.1,gaussian,9,0.5186064982865883,0.00202241588221852
Async-Stale,0.8063099374565671,0.49221126069985915,0.39710954960988926,0.49221126069985915,0.43349569551839107,0.9365378418973682,0.11162060126162861,1.3804495164586474,20.54663586616516,13.831787109375,22662,0.1,gaussian,9,0.43349569551839107,0.0
RawTrust,0.8092842251563586,0.5220897107311203,0.7126646444418346,0.5220897107311203,0.4799448568406571,0.9557417788143246,0.10984106516709254,0.730763561193699,20.584457874298096,13.831787109375,22662,0.1,gaussian,9,0.4824162611040084,0.002471404263351351
AgriTrust-ACFL,0.8090340514246004,0.5231033572512045,0.6442475312258854,0.5231033572512045,0.48212590071181277,0.9567915897340113,0.11004435272904461,0.6693844589970361,24.5015926361084,13.831787109375,22662,0.1,gaussian,9,0.5644208041754983,0.08229490346368556
FedAvg,0.8203752605976372,0.5537830457446539,0.7314802470529008,0.5537830457446539,0.5311722515169423,0.9583120745319221,0.10355969359312905,0.6341506837786293,25.96257972717285,17.28973388671875,22662,0.1,collusive_scale,9,0.4981516167072207,-0.03302063480972156
CoordMedian,0.6063933287004865,0.7111641090978487,0.7323761342264355,0.7111641090978487,0.6485967098416195,0.9583696038109268,0.07907106809040498,0.5449436161829775,25.940032243728638,17.28973388671875,22662,0.1,collusive_scale,9,0.6384032484667285,-0.010193461374891077
TrimmedMean,0.6204308547602502,0.7067453786274417,0.7465138282768389,0.7067453786274417,0.6344478169486841,0.9594856898449339,0.07668042355267016,0.49396584681294614,25.94178056716919,17.28973388671875,22662,0.1,collusive_scale,9,0.6633467654102335,0.02889894846154939
MultiKrum,0.5888533703961084,0.6237734922004509,0.7135335189684052,0.6237734922004509,0.49634952390918313,0.9575582128673408,0.08192567197278844,0.9727256325779143,25.935441970825195,17.28973388671875,22662,0.1,collusive_scale,9,0.5186064982865883,0.022256974377405203
Async-Stale,0.8067546907574704,0.4961880786283926,0.5637256993153895,0.4961880786283926,0.4399484932372679,0.9402932305313585,0.11129923365213695,1.2541498616325542,19.802014112472534,13.831787109375,22662,0.1,collusive_scale,9,0.43349569551839107,-0.006452797718876857
