Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
RawTrust,1,0,0,False,0.7686659395694733,0.9383286136479624,0.8372284173965454,1.0,8.0,0.8274228531736052,0.9568557132934012,2.745271921157837,,,,,
RawTrust,1,1,0,False,0.8086833953857422,0.6780812397426561,0.5023436546325684,1.0,8.0,0.7578893499089939,0.9394723374772485,3.8219525814056396,,,,,
RawTrust,1,2,0,False,0.7959274649620056,0.9383286136479626,0.8372284173965454,1.0,8.0,0.8573593289887187,0.9643398322471797,3.0133321285247803,,,,,
RawTrust,1,3,0,False,0.7383228093385696,0.6626494965249103,0.917847752571106,1.0,8.0,0.7266005812588275,0.9316501453147069,3.88688588142395,,,,,
RawTrust,1,4,0,False,0.6970291137695312,0.10381395490937612,0.4214218556880951,1.0,8.0,0.41242867849767967,0.8531071696244199,0.5481581091880798,,,,,
RawTrust,1,6,0,False,0.5416186638176441,0.16820460645013308,0.20819735527038574,1.0,8.0,0.4113315231136801,0.85283288077842,0.7803319692611694,,,,,
RawTrust,1,8,0,False,0.7323342859745026,0.6857584475618852,0.917847752571106,1.0,8.0,0.7240934473678962,0.9310233618419741,3.790593147277832,,,,,
RawTrust,1,9,0,False,0.7490390688180923,0.1663178851029222,0.5023436546325684,1.0,8.0,0.47825001185685073,0.8695625029642127,0.7739169001579285,,,,,
RawTrust,2,0,1,False,0.8207271993160248,0.7244551032488976,0.8325409889221191,1.0,8.0,0.7937397326392647,0.9160767181298671,2.753746509552002,,,,,
RawTrust,2,2,1,False,0.8367806971073151,0.6202322289728424,0.8325409889221191,1.0,8.0,0.7783567175308085,0.917844053568087,3.0341744422912598,,,,,
RawTrust,2,3,0,False,0.586720734834671,0.9529066803653626,0.7778504490852356,1.0,8.0,0.7140481919506562,0.8772496569736943,2.3206119537353516,,,,,
RawTrust,2,4,0,False,0.679644450545311,0.09756634743618652,0.4515761137008667,1.0,8.0,0.399235471737373,0.7396392451526582,0.5266188979148865,,,,,
RawTrust,2,6,0,False,0.6319686770439148,0.1749839885756506,0.17522065341472626,1.0,8.0,0.4530969974135768,0.7528989099372092,0.7583887577056885,,,,,
RawTrust,2,7,0,False,0.7459510862827301,0.7967999556898389,0.35830241441726685,1.0,8.0,0.794070020367942,0.9485175050919855,2.594865560531616,,,,,
RawTrust,2,8,0,False,0.572000652551651,0.9529066803653626,0.7778504490852356,1.0,8.0,0.6976479387333064,0.8726795060648073,2.1849570274353027,,,,,
RawTrust,2,9,1,False,0.7108023762702942,0.18021388521962184,0.4515761137008667,1.0,8.0,0.4759860212024891,0.7711683825237818,0.7724621891975403,,,,,
RawTrust,3,0,2,False,0.7192323952913284,0.913115382736438,0.36589115858078003,1.0,10.0,0.7912270080164322,0.8848642906015084,2.7244226932525635,,,,,
RawTrust,3,1,1,False,0.7866072654724121,0.9386853311415682,0.5526336431503296,1.0,10.0,0.8229358460728464,0.9103382146261481,2.642524242401123,,,,,
RawTrust,3,2,0,False,0.7427652478218079,0.9221394270208535,0.38136938214302063,1.0,10.0,0.8210759166133187,0.8936520193293949,2.6949734687805176,,,,,
RawTrust,3,3,2,False,0.4998717652633786,0.666408490076716,0.9146853089332581,1.0,10.0,0.5873128626555916,0.8047654583941687,3.8587067127227783,,,,,
RawTrust,3,4,1,False,0.783012866973877,0.24786118898324747,0.5526336431503296,1.0,10.0,0.5708468167122808,0.6974411380425639,0.5274275541305542,,,,,
RawTrust,3,5,1,False,0.7277324497699738,0.1430455046948257,0.4462319612503052,1.0,10.0,0.45924987925987143,0.8648124698149678,0.28729429841041565,,,,,
RawTrust,3,6,1,False,0.6258468627929688,0.34914886730183514,0.29843926429748535,1.0,10.0,0.5544594264144425,0.7032890390565175,0.7702125310897827,,,,,
RawTrust,3,7,0,False,0.7792524695396423,0.9386853311415683,0.4462319612503052,1.0,10.0,0.8543627970575255,0.9249788280833705,2.29763126373291,,,,,
RawTrust,3,8,2,False,0.4947413979098201,0.6742557815032006,0.9146853089332581,1.0,10.0,0.5806421484814228,0.7996701666689612,3.80910587310791,,,,,
RawTrust,3,9,2,False,0.737565279006958,0.3558410928405819,0.45525676012039185,1.0,10.0,0.5957484616461112,0.7273134023043641,0.7865439653396606,,,,,
RawTrust,4,0,2,False,0.8476221561431885,0.8234420937092916,0.8072396516799927,1.0,8.0,0.8395885507295372,0.8735453556335155,2.496098756790161,,,,,
RawTrust,4,1,2,False,0.7747388780117035,0.7663990007289547,0.48602914810180664,1.0,8.0,0.7679183012433419,0.8747332362804465,2.5508100986480713,,,,,
RawTrust,4,2,1,False,0.862402468919754,0.6223705740989246,0.8072396516799927,1.0,8.0,0.7921933274826842,0.8682873463677172,2.7163288593292236,,,,,
RawTrust,4,3,1,False,0.4452108070254326,0.8234420937092912,0.7150447964668274,1.0,8.0,0.5871866528975924,0.7503707570200246,2.2197346687316895,,,,,
RawTrust,4,6,1,False,0.7213733196258545,0.024974735653785256,0.32321417331695557,1.0,8.0,0.27173616879999024,0.5954008214923857,0.7723204493522644,,,,,
RawTrust,4,7,2,False,0.7397971451282501,0.7219684836271199,0.45269575715065,1.0,8.0,0.767415817685319,0.8855880754838577,2.597236394882202,,,,,
RawTrust,4,8,1,False,0.42380185425281525,0.46365080821670296,0.7150447964668274,1.0,8.0,0.47659555860672614,0.7189015146534025,1.8662294149398804,,,,,
RawTrust,4,9,1,False,0.7985924184322357,0.027881136115037057,0.567105770111084,1.0,8.0,0.2899130968523815,0.6179633259413685,0.7984300851821899,,,,,
RawTrust,5,0,2,False,0.8182148337364197,0.750565740343504,0.8839213252067566,1.0,10.0,0.8008643950258733,0.8553751154816049,2.434577465057373,,,,,
RawTrust,5,1,0,False,0.8045339584350586,0.9318645386329475,0.7003984451293945,1.0,10.0,0.8313776417722076,0.8638943376533867,2.2115423679351807,,,,,
RawTrust,5,2,2,False,0.8427006006240845,0.5986564048581042,0.8839213252067566,1.0,10.0,0.7731247500608774,0.8444966972910073,2.691770315170288,,,,,
