Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,Seed,Scenario,MeanTrustMalicious,MeanTrustBenign,BenignFalseQuarantine,MaliciousQuarantineRecall
A6 +Gate (no probation),0.7628908964558722,0.542570045575752,0.420843847578039,0.542570045575752,0.44572198170726857,0.946936279318651,0.08857207365614828,0.45151536360428907,18.00661587715149,,22662,0,0,8801,sign_flip@0.3,0.7521133774305087,0.8370811453507307,0.0,0.05555555555555555
"A7 +Probation (full AgriTrust, symmetric memory)",0.7628908964558722,0.542570045575752,0.420843847578039,0.542570045575752,0.44572198170726857,0.946936279318651,0.08857207365614828,0.45151536360428907,18.31506872177124,,22662,0,0,8801,sign_flip@0.3,0.7521133774305087,0.8370811453507307,0.0,0.05555555555555555
"A8 Full AgriTrust, asymmetric memory",0.7729534398888117,0.5580794897304635,0.4301988103044849,0.5580794897304635,0.4574455820601646,0.9530751224210064,0.0792274667043379,0.4618968758304074,19.572872638702393,,22662,0,0,8801,sign_flip@0.3,0.5957923854821794,0.7249185843371708,0.0,0.05555555555555555
A0 Staleness-weighted only,0.7312022237665046,0.18158313444709626,0.2125672277012706,0.18158313444709626,0.16648402977357185,0.8256020984131359,0.1646053122494126,4.210278044309049,19.347273111343384,,22662,0,0,8802,model_replace@0.3,1.0,1.0,0.0,
A1 +Direction,0.7354829742876998,0.21221161495624505,0.21901325921513304,0.21221161495624505,0.20326794080523794,0.8544322264315888,0.16067374070911145,4.147058374440172,19.449145078659058,,22662,0,0,8802,model_replace@0.3,0.7966420237966441,0.8486073018560866,0.0,
A2 +Norm,0.7300069492703266,0.17303102625298328,0.16529691320566,0.17303102625298328,0.15193478849535635,0.7622945087653847,0.16499466752921918,4.252332049550361,19.81811261177063,,22662,0,0,8802,model_replace@0.3,0.6254717887633978,0.7575807282319109,0.0,
A3 +Reliability+History,0.7362334954829743,0.2175815433571997,0.22454234775989804,0.2175815433571997,0.20934477170285404,0.8523924963384729,0.16026140323883295,4.098819035899896,19.34909224510193,,22662,0,0,8802,model_replace@0.3,0.7571791960666343,0.8566649117299014,0.0,
A4 +Clipping,0.7988047255038221,0.4919410535877073,0.6709535259568239,0.4919410535877073,0.41931895085207693,0.8710915679648941,0.11019707988009242,1.1886426159341585,20.45376229286194,,22662,0,0,8802,model_replace@0.3,0.7385270407109158,0.8563543408112594,0.0,
A5 +Similarity (duplicate-aware consensus),0.7988047255038221,0.4919410535877073,0.6709535259568239,0.4919410535877073,0.41931895085207693,0.8710915679648941,0.11019707988009242,1.1886426159341585,18.924102306365967,,22662,0,0,8802,model_replace@0.3,0.7385270407109158,0.8563543408112594,0.0,
A6 +Gate (no probation),0.8339124391938847,0.6550117713029221,0.7600139432119882,0.6550117713029221,0.6313041996608867,0.9580054249778808,0.0907499016378474,0.35509262446720147,20.672988414764404,,22662,0,0,8802,model_replace@0.3,0.7325568687909505,0.8585952725282132,0.0,0.17647058823529413
"A7 +Probation (full AgriTrust, symmetric memory)",0.8339124391938847,0.6550117713029221,0.7600139432119882,0.6550117713029221,0.6313041996608867,0.9580054249778808,0.0907499016378474,0.35509262446720147,19.21729350090027,,22662,0,0,8802,model_replace@0.3,0.7325568687909505,0.8585952725282132,0.0,0.17647058823529413
"A8 Full AgriTrust, asymmetric memory",0.7927727588603196,0.40256746185943076,0.39662531594635536,0.40256746185943076,0.3963796687692526,0.9233099598630367,0.12402827732298115,1.889916289517547,19.573882579803467,,22662,0,1,8802,model_replace@0.3,0.48456734176409266,0.7314395827914202,0.0,0.35294117647058826
A0 Staleness-weighted only,0.8180681028492008,0.5792218898386966,0.7565484722457709,0.5792218898386966,0.5658974269669689,0.9561066096959342,0.08307411263372952,0.3934143172511309,21.64796209335327,,22662,0,0,8803,collusive_scale@0.3,1.0,1.0,0.0,
A1 +Direction,0.7940236275191105,0.6263352476719115,0.7287107853740022,0.6263352476719115,0.6246816409455134,0.9551743743356846,0.07746935320392688,0.38924170070894404,21.1180579662323,,22662,0,0,8803,collusive_scale@0.3,0.840697571671227,0.7794022820155659,0.0,
A2 +Norm,0.8256011118832522,0.5949016930346759,0.8047365144373756,0.5949016930346759,0.5962825631671889,0.9553531125254682,0.09902721913077704,0.36969590486335235,20.91935920715332,,22662,0,0,8803,collusive_scale@0.3,0.6352437910682727,0.6990874160808912,0.0,
A3 +Reliability+History,0.7925225851285616,0.6031166394004629,0.7183068231988855,0.6031166394004629,0.5860230973983344,0.9565325643559773,0.07615301265761269,0.38950008240204026,21.41568398475647,,22662,0,0,8803,collusive_scale@0.3,0.7517064426476562,0.8116445658476446,0.0,
A4 +Clipping,0.828047255038221,0.619708053473222,0.7835224407650575,0.619708053473222,0.6331708594981266,0.9584446332926394,0.08711523507902523,0.36009572139830603,20.879453659057617,,22662,0,0,8803,collusive_scale@0.3,0.7472551745574203,0.7918813847777504,0.0,
A5 +Similarity (duplicate-aware consensus),0.8079499652536484,0.49700684022178415,0.39583116612284946,0.49700684022178415,0.4349182534654026,0.9555181456756648,0.1103149099895764,0.8589465536206549,21.351351976394653,,22662,0,0,8803,collusive_scale@0.3,0.4103965377807617,0.8224557653698323,0.0,
A6 +Gate (no probation),0.8072550382209868,0.4946066071541151,0.39637199582981286,0.4946066071541151,0.4343077523084182,0.9373120402376593,0.11090315253048028,1.562443750898871,20.72036385536194,,22662,0,0,8803,collusive_scale@0.3,0.4103965377807617,0.8188880243028068,0.0,0.85
"A7 +Probation (full AgriTrust, symmetric memory)",0.8074774148714385,0.4954962635436559,0.39638027327815245,0.4954962635436559,0.4346644798673615,0.9398711700203402,0.11074161132889986,1.434879892573156,21.355130910873413,,22662,0,3,8803,collusive_scale@0.3,0.4103965377807617,0.818562829970182,0.0,0.7
"A8 Full AgriTrust, asymmetric memory",0.807449617790132,0.49529737730658346,0.396449903093037,0.49529737730658346,0.4346699267708691,0.9391639674836091,0.11078343301619943,1.4518064057791304,20.85722017288208,,22662,0,4,8803,collusive_scale@0.3,0.11895592246953124,0.696151444155674,0.0,0.8
A0 Staleness-weighted only,0.8336622654621265,0.5966652082929925,0.8385294430767966,0.5966652082929925,0.576714877031541,0.9583798712865473,0.09386791106955673,0.3573809376354877,20.60550355911255,,22662,0,0,8804,adaptive_slow_drift@0.3,1.0,1.0,0.0,
A1 +Direction,0.83363446838082,0.5991985190170045,0.8282454506655448,0.5991985190170045,0.5826623030453457,0.9584797239441931,0.09269090812547277,0.35488006864765137,19.812108755111694,,22662,0,0,8804,adaptive_slow_drift@0.3,0.982012086816025,0.758892535140064,0.0,
A2 +Norm,0.8341904100069493,0.6019189618033768,0.8255861490277024,0.6019189618033768,0.5851282739171875,0.958566550360707,0.09216444288873699,0.3553730105336834,19.884369611740112,,22662,0,0,8804,adaptive_slow_drift@0.3,0.9040072447482959,0.6220406697774112,0.0,
A3 +Reliability+History,0.8343015983321751,0.6039445690005499,0.8248069516280215,0.6039445690005499,0.5868187707655177,0.9586026853236654,0.09206215699495612,0.3549478877515867,20.504191398620605,,22662,0,0,8804,adaptive_slow_drift@0.3,0.9262926014027874,0.7775774429884595,0.0,
A4 +Clipping,0.8343015983321751,0.6039445690005499,0.8248069516280215,0.6039445690005499,0.5868187707655177,0.9586026886310713,0.09206215699495612,0.3549478892337748,19.926121711730957,,22662,0,0,8804,adaptive_slow_drift@0.3,0.9262926055360946,0.77757744553765,0.0,
A5 +Similarity (duplicate-aware consensus),0.8323835997220291,0.6007398663140618,0.6655429600105739,0.6007398663140618,0.5768416419832273,0.9584807384921898,0.09468778958037012,0.35804652053071084,20.86534309387207,,22662,0,0,8804,adaptive_slow_drift@0.3,0.5393801877209781,0.7795760993897527,0.0,
A6 +Gate (no probation),0.832189020152884,0.6097032821169913,0.6612478795870167,0.6097032821169913,0.5800339387069605,0.9583675337891621,0.09502535243244754,0.36267090769268084,19.693079710006714,,22662,1,0,8804,adaptive_slow_drift@0.3,0.5409194810842299,0.7765811873574905,0.022727272727272728,0.5625
"A7 +Probation (full AgriTrust, symmetric memory)",0.8312161223071578,0.6017593551872338,0.6684739898664634,0.6017593551872338,0.5753949690801538,0.9583053167816895,0.09582136807699648,0.36711163177272543,20.792877912521362,,22662,1,2,8804,adaptive_slow_drift@0.3,0.5409194810842299,0.7765839510056094,0.022727272727272728,0.4375
"A8 Full AgriTrust, asymmetric memory",0.8317998610145935,0.609081768554098,0.6644960097267494,0.609081768554098,0.5801050609872983,0.9583165804258638,0.09536005801736859,0.3662956842331813,19.799596071243286,,22662,1,2,8804,adaptive_slow_drift@0.3,0.19881701536651072,0.6330181932432074,0.022727272727272728,0.75
A0 Staleness-weighted only,0.8297150799166088,0.598782244112007,0.6825094202158866,0.598782244112007,0.5739966703821818,0.9583085058196775,0.09734831234329815,0.4049150764712986,19.60579538345337,,22662,0,0,9800,clean,,1.0,0.0,
A1 +Direction,0.8297150799166088,0.5987774621591593,0.6826721243585646,0.5987774621591593,0.5741730985995868,0.9580183630202567,0.097240732863467,0.4040090606263189,19.188276529312134,,22662,0,0,9800,clean,,0.7835694647812153,0.0,
A2 +Norm,0.8247949965253648,0.5931231337354844,0.683245492905698,0.5931231337354844,0.5653600406314293,0.9576833543303643,0.10040867377561219,0.42070326654249895,19.257508516311646,,22662,0,0,9800,clean,,0.6656498856976982,0.0,
A3 +Reliability+History,0.8306601806810285,0.6074515720176451,0.6677257805542842,0.6074515720176451,0.5770628290814468,0.9583878067667945,0.09644303561811705,0.38320321358191367,20.179532051086426,,22662,0,0,9800,clean,,0.7986344850338862,0.0,
A4 +Clipping,0.8306601806810285,0.6074515720176451,0.6677257805542842,0.6074515720176451,0.5770628290814468,0.9583878103702914,0.09644303561811705,0.3832032136313522,18.672456741333008,,22662,0,0,9800,clean,,0.7986344851214726,0.0,
A5 +Similarity (duplicate-aware consensus),0.8306601806810285,0.6074515720176451,0.6677257805542842,0.6074515720176451,0.5770628290814468,0.9583878103702914,0.09644303561811705,0.3832032136313522,19.60062885284424,,22662,0,0,9800,clean,,0.7986344851214726,0.0,
A6 +Gate (no probation),0.8306601806810285,0.6074515720176451,0.6677257805542842,0.6074515720176451,0.5770628290814468,0.9583878103702914,0.09644303561811705,0.3832032136313522,20.181933641433716,,22662,0,0,9800,clean,,0.7986344851214726,0.0,
"A7 +Probation (full AgriTrust, symmetric memory)",0.8306601806810285,0.6074515720176451,0.6677257805542842,0.6074515720176451,0.5770628290814468,0.9583878103702914,0.09644303561811705,0.3832032136313522,18.908806085586548,,22662,0,0,9800,clean,,0.7986344851214726,0.0,
"A8 Full AgriTrust, asymmetric memory",0.8309381514940931,0.6097629101745148,0.6625418378220534,0.6097629101745148,0.5778916963637583,0.9585298097994203,0.09606063727721521,0.37468371344921325,19.94907236099243,,22662,0,0,9800,clean,,0.6623641256411328,0.0,
A0 Staleness-weighted only,0.6266018068102849,0.3016869313771966,0.1467885138587263,0.3016869313771966,0.16450256462380594,0.5852690230427448,0.13982675080924778,5.888018038562228,19.814053058624268,,22662,0,0,9801,sign_flip@0.3,1.0,1.0,0.0,
A1 +Direction,0.6342460041695622,0.30497455196382534,0.14792356891293043,0.30497455196382534,0.1667162981816344,0.5741229477180357,0.13832458166788994,5.795421647198736,20.74976634979248,,22662,0,0,9801,sign_flip@0.3,0.7280878437378927,0.7898718202956544,0.0,
A2 +Norm,0.6428075052119527,0.3077017273607106,0.14902298417838575,0.3077017273607106,0.1691991811756949,0.6505109833735563,0.13738273045994331,5.485284954571074,19.813462495803833,,22662,0,0,9801,sign_flip@0.3,0.5638939402164047,0.7069790447721672,0.0,
A3 +Reliability+History,0.6370257123002084,0.30560995671665286,0.14826877757635942,0.30560995671665286,0.16745872082614457,0.6174680179554995,0.1379120451185725,5.727379025355931,20.23720145225525,,22662,0,0,9801,sign_flip@0.3,0.7239162093892944,0.8045760518272114,0.0,
A4 +Clipping,0.8075886031966644,0.49658738355819665,0.3946315976733778,0.49658738355819665,0.43367817950485493,0.8818342651694272,0.11029005723493164,2.7782195064293824,20.65287733078003,,22662,0,0,9801,sign_flip@0.3,0.7326298321830997,0.7974109346343603,0.0,
A5 +Similarity (duplicate-aware consensus),0.8075886031966644,0.49658738355819665,0.3946315976733778,0.49658738355819665,0.43367817950485493,0.8818342651694272,0.11029005723493164,2.7782195064293824,19.859886407852173,,22662,0,0,9801,sign_flip@0.3,0.7326298321830997,0.7974109346343603,0.0,
A6 +Gate (no probation),0.8082001389854065,0.4978677617403808,0.56190422015591,0.4978677617403808,0.4349951576311713,0.9550697050654038,0.1100251979515483,0.7064591014249123,21.060162782669067,,22662,0,0,9801,sign_flip@0.3,0.7319899871511025,0.7955596248532704,0.0,0.14285714285714285
"A7 +Probation (full AgriTrust, symmetric memory)",0.8082001389854065,0.4978677617403808,0.56190422015591,0.4978677617403808,0.4349951576311713,0.9550697050654038,0.1100251979515483,0.7064591014249123,20.086479425430298,,22662,0,0,9801,sign_flip@0.3,0.7319899871511025,0.7955596248532704,0.0,0.14285714285714285
"A8 Full AgriTrust, asymmetric memory",0.8080611535788742,0.4976785482316677,0.39497995321472473,0.4976785482316677,0.43452992953427333,0.9524456437456655,0.11006127409122994,1.1649304898363997,21.592851877212524,,22662,0,1,9801,sign_flip@0.3,0.5803841119398628,0.6641308842200888,0.0,0.14285714285714285
A0 Staleness-weighted only,0.6058373870743572,0.5632495993916913,0.5379060970913964,0.5632495993916913,0.5072469858935044,0.7973369952460007,0.09128219714581233,1.5558230877872967,23.56187343597412,,22662,0,0,9802,model_replace@0.3,1.0,1.0,0.0,
A1 +Direction,0.591049339819319,0.5366153633742711,0.5363299903025207,0.5366153633742711,0.49294028408045154,0.8159930637421792,0.09103041684206614,1.8211509172791034,22.91734004020691,,22662,0,0,9802,model_replace@0.3,0.7799353109512456,0.8209241972091549,0.0,
A2 +Norm,0.5970813064628214,0.5711351200547962,0.6720099884511979,0.5711351200547962,0.4539725159454713,0.8465353859482,0.08858224117764263,1.2159225768133188,23.7918643951416,,22662,0,0,9802,model_replace@0.3,0.6007218213659432,0.7463604347754735,0.0,
