Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,PoisonRatio,AttackType,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
RawTrust,3,5,0,False,0.7233442813158035,0.09868004238697511,0.39500635862350464,1.0,9.0,0.4094783137030392,0.38231886585910935,0.27696287631988525,0.0,none,,,,,
RawTrust,3,6,2,False,0.5759009569883347,0.3792958215102648,0.3600400686264038,1.0,9.0,0.5429925162140672,0.5093552489289512,0.7696014046669006,0.0,none,,,,,
RawTrust,3,7,2,False,0.7149159163236618,1.0,0.4235590994358063,1.0,9.0,0.8304309900224102,0.8255267252893378,1.6063342094421387,0.0,none,,,,,
RawTrust,3,8,1,False,0.42217788845300674,0.8826619703932576,0.8154558539390564,1.0,9.0,0.5769178230588833,0.5079890067738226,1.7659556865692139,0.0,none,,,,,
RawTrust,3,9,0,False,0.7252717018127441,0.3727284217282739,0.6650410890579224,1.0,9.0,0.5985342410835769,0.585601245876487,0.7594656944274902,0.0,none,,,,,
RawTrust,4,2,1,False,0.6218878999352455,0.835074284598619,0.4971024990081787,1.0,7.0,0.7228283231082246,0.7596502166520178,1.649368405342102,0.0,none,,,,,
RawTrust,4,3,0,False,0.4960022149607539,0.6703216030474624,0.8061989545822144,1.0,7.0,0.5858360268921385,0.5452340783037721,1.81303870677948,0.0,none,,,,,
RawTrust,4,4,0,False,0.6341470181941986,0.06933942620994628,0.4971024990081787,1.0,7.0,0.34688273028347194,0.41903867731471045,0.483771950006485,0.0,none,,,,,
RawTrust,4,5,0,False,0.7726122438907623,0.01841885959090562,0.24330425262451172,1.0,7.0,0.25661380881076884,0.3508926015970242,0.2733910083770752,0.0,none,,,,,
RawTrust,4,6,1,False,0.7064495980739594,0.1931034656819207,0.3919264078140259,1.0,7.0,0.4961817735812102,0.506061880092016,0.7518636584281921,0.0,none,,,,,
RawTrust,4,7,2,False,0.7268105149269104,1.0,0.24330425262451172,1.0,7.0,0.8380018501487069,0.82864550650418,1.5262264013290405,0.0,none,,,,,
RawTrust,4,8,2,False,0.47898460552096367,0.7284369254705968,0.8061989545822144,1.0,7.0,0.5837777749596896,0.5269361988202894,1.7492892742156982,0.0,none,,,,,
