Method,MeanClientF1,WorstClientF1,ClientF1_SD,Range
AgriTrust-ACFL,0.4695115759319136,0.32897136910566055,0.1271083526321183,0.39521970672242596
Async-Stale,0.4897195488919256,0.33986614380103625,0.13740239062667287,0.4053997088328882
CoordMedian,0.5157476271107502,0.22987910189982727,0.1472376832412806,0.4902041780489236
FedAvg,0.5363598653202485,0.27354086460702937,0.23625177821208834,0.7264591353929706
FedProx,0.4638395017620035,0.33316639771483686,0.14295383359171118,0.44578060155995375
MultiKrum,0.44372172477816624,0.1295622085151196,0.22556702879917087,0.7177341793428534
RawTrust,0.4849479959960954,0.3346453965853657,0.13862434859939238,0.42575087381090476
TrimmedMean,0.5305478730102435,0.2308290930859024,0.17170237539541366,0.4892541868628485
