Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold,TrustUpdate,UsedForCalibration
AgriTrust-ACFL,6,5,0,False,0.7713587284088135,0.41260565832956825,0.4152602553367615,1.0,7,0.6515892369883286,0.6185803314834151,0.27853336930274963,True,False,285.1655328138543,1.9641727209091187,0.0,symmetric,True
AgriTrust-ACFL,6,6,3,False,0.6436643898487091,0.9634163182974376,0.27959582209587097,1.0,7,0.7635123237664104,0.7146975149988739,0.7521065473556519,True,False,190.46616443327486,1.9641727209091187,0.0,symmetric,True
AgriTrust-ACFL,6,7,3,False,0.8317106068134308,0.46103123289945325,0.4152602553367615,1.0,7,0.7154300091901976,0.8252860133707277,1.9460152387619019,True,False,2001.6915115147797,1.9641727209091187,0.0,symmetric,True
AgriTrust-ACFL,6,8,2,False,0.6461586356163025,1.0,0.7645502090454102,1.0,7,0.7569019945333365,0.7766494546203568,0.7856690883636475,True,False,8306.437921048562,1.9641727209091187,0.0,symmetric,True
AgriTrust-ACFL,7,0,0,False,0.8050708770751953,0.7557579674144236,0.8564064502716064,1.0,9,0.7954060823476741,0.7835140759621178,2.211190938949585,True,False,5783.900908752354,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,1,1,False,0.7931384444236755,1.0,0.6298937797546387,1.0,9,0.8425293660408762,0.7918577891454557,1.3157552480697632,True,False,10213.336035406764,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,2,1,False,0.8433501720428467,0.8211012123262463,0.8564064502716064,1.0,9,0.8503531866064157,0.8422571948655131,1.8961139917373657,True,False,6606.213896630866,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,3,6,False,0.38465020060539246,0.6501925775688893,0.41208744049072266,1.0,9,0.5047472997226864,0.7188834150820206,2.9224917888641357,True,False,1270.9198974021992,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,4,3,False,0.7936210036277771,0.5997585668100163,0.6298937797546387,1.0,9,0.749659938451741,0.7141309939559564,0.5100271105766296,True,False,142.55125885650781,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,5,0,False,0.7861423790454865,0.43577751648925633,0.4417409300804138,1.0,9,0.6693101942078623,0.6312627971645268,0.28213241696357727,True,False,291.01214949284685,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,6,1,False,0.6626677364110947,0.741920335377795,0.2971391975879669,1.0,9,0.7173465655135419,0.7153597776275409,0.7565655708312988,True,False,468.90527167030166,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,7,6,False,0.5985566079616547,0.670320407632901,0.28580084443092346,1.0,9,0.6679684119932009,0.785956613026346,2.7619035243988037,True,False,494.1896942390833,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,7,8,0,False,0.4570605978369713,0.5688191166046606,0.41208744049072266,1.0,9,0.5282395952504644,0.7145469897778838,0.4623301327228546,True,False,18796.87311309701,3.289388120174408,0.0,symmetric,True
AgriTrust-ACFL,8,0,1,False,0.8659975528717041,0.36142996216863804,0.8383663296699524,1.0,9,0.6636005457758843,0.7535356934155594,2.213653326034546,True,False,3546.870667879874,1.8772399425506592,0.0,symmetric,True
