Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,DropoutRate,MaxStaleness
Async-Stale,0.8061987491313413,0.4919589646946329,0.39580111616192504,0.4919589646946329,0.43229623165843917,0.9346392329602081,0.11142946396742164,1.2410452050283336,49.253257274627686,28.528060913085938,22662,0.2,6
AgriTrust-ACFL,0.8321334259902711,0.5747266470051206,0.8578109149606256,0.5747266470051206,0.5696709929755287,0.9553600826098546,0.09467245069837794,0.3560364016864475,60.10450053215027,28.528060913085938,22662,0.2,6
Async-Stale,0.8076719944405837,0.49645519249070597,0.3964437379023058,0.49645519249070597,0.4351033197883903,0.9213190895028309,0.11060953236484643,1.5129426835333382,33.726266860961914,20.7476806640625,22662,0.4,0
AgriTrust-ACFL,0.8138429464906185,0.5280062948198441,0.8318334110135285,0.5280062948198441,0.492616216852457,0.9560275053643176,0.10689327874922955,0.4735315879536354,42.88560628890991,20.7476806640625,22662,0.4,0
Async-Stale,0.8293259207783182,0.600775843306358,0.8362929507525892,0.600775843306358,0.5814633561365298,0.958974612891449,0.0980969938549629,0.42017533329882223,36.24915075302124,21.43927001953125,22662,0.4,1
AgriTrust-ACFL,0.8321612230715775,0.6374104461162334,0.782390767897892,0.6374104461162334,0.6030720708730787,0.9577565276915915,0.0913262032769922,0.35412568973860153,43.40059733390808,21.43927001953125,22662,0.4,1
Async-Stale,0.8198471160528145,0.6321239732685898,0.7333721511479364,0.6321239732685898,0.6079011555672139,0.9526300496663661,0.08618565998665577,0.3687138464155418,36.49977397918701,22.130859375,22662,0.4,2
AgriTrust-ACFL,0.7130507296733843,0.7008502488591598,0.7092258738026614,0.7008502488591598,0.6343971302468743,0.9569872818655898,0.07264915288700513,0.4230007393810582,45.07641577720642,22.130859375,22662,0.4,2
Async-Stale,0.8307713690062544,0.5968328464624052,0.6899193252273353,0.5968328464624052,0.5779824125700274,0.9551990479909637,0.09663557504361535,0.38046709546828683,32.570019245147705,19.883193969726562,22662,0.4,4
AgriTrust-ACFL,0.7896316886726894,0.6685337844217355,0.7389494951936443,0.6685337844217355,0.61218073569956,0.9563268593356667,0.07336622260431995,0.3837377190510248,38.732197284698486,19.883193969726562,22662,0.4,4
