GateMode,NoiseSigmaProxy,MaxStaleness,ClientRounds,MeanTrust,MinTrust,FalseQuarantineRate,MinAdmittedPerRound,Tau_cal,MeanEffectiveThreshold,ValMacroF1
absolute,0.0,0,47,0.6795090500212205,0.5330897519762378,0.14893617021276595,4,0.6079962196126982,0.6079962196126981,0.581158398149258
absolute,0.0,1,47,0.6801465127898113,0.5330897519762378,0.14893617021276595,3,0.6079962196126982,0.6079962196126981,0.5749152671986697
absolute,0.0,2,47,0.6703734524194901,0.4920351901227196,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5739357433386982
absolute,0.0,4,47,0.6695177522678035,0.45587623817223005,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5418549666286244
absolute,0.0,6,47,0.6694424937671654,0.45587623817223005,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5264861246514365
absolute,0.1,0,47,0.6798547383657904,0.5344161175576934,0.14893617021276595,4,0.6079962196126982,0.6079962196126981,0.5812999034919033
absolute,0.1,1,47,0.6805791170432738,0.5344161175576934,0.14893617021276595,3,0.6079962196126982,0.6079962196126981,0.5766706734389356
absolute,0.1,2,47,0.671122447802801,0.4932845798093143,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5739357433386982
absolute,0.1,4,47,0.6702185967693077,0.4570111580472743,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5442955251677536
absolute,0.1,6,47,0.6701315265765654,0.4570111580472743,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5264861246514365
absolute,0.25,0,47,0.6809064179138148,0.5400833614739878,0.14893617021276595,4,0.6079962196126982,0.6079962196126981,0.5814412910066015
absolute,0.25,1,47,0.681995632312604,0.5400833614739878,0.14893617021276595,3,0.6079962196126982,0.6079962196126981,0.5767999627204828
absolute,0.25,2,47,0.6732830772044156,0.4963875546670256,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5740500266399197
absolute,0.25,4,47,0.672023583303664,0.4593003016289709,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.544436791618035
absolute,0.25,6,47,0.6719269230972763,0.4593003016289709,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5319699359424924
absolute,0.5,0,47,0.6987374439868235,0.552086076152529,0.1276595744680851,3,0.6079962196126982,0.6079962196126981,0.5780028438559959
absolute,0.5,1,47,0.6844384939749735,0.552086076152529,0.14893617021276595,3,0.6079962196126982,0.6079962196126981,0.5775878145651573
absolute,0.5,2,47,0.6771665445585862,0.5054636292867131,0.19148936170212766,3,0.6079962196126982,0.6079962196126981,0.5235804990438706
absolute,0.5,4,47,0.6737512050872939,0.46111455937369145,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5445533265290169
absolute,0.5,6,47,0.6736664826027597,0.46111455937369145,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5319453219153606
absolute,0.75,0,47,0.6957613017400436,0.5612788562512512,0.10638297872340426,4,0.6079962196126982,0.6079962196126981,0.5796508984460687
absolute,0.75,1,47,0.6849121929221366,0.5612788562512512,0.1276595744680851,4,0.6079962196126982,0.6079962196126981,0.5595516850959068
absolute,0.75,2,47,0.6779380765291129,0.5182956841086837,0.19148936170212766,3,0.6079962196126982,0.6079962196126981,0.5235943012817245
absolute,0.75,4,47,0.6742934842788261,0.46331297763122087,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5468143722488331
absolute,0.75,6,47,0.6742043633703416,0.46331297763122087,0.2127659574468085,3,0.6079962196126982,0.6079962196126981,0.5290142513622923
hybrid,0.0,0,47,0.6849266385473981,0.5330897519762378,0.10638297872340426,4,0.6079962196126982,0.5708652126974969,0.5816757646617488
