,Benign,DDoS,DoS,Mirai,Recon,Spoofing
Benign,0.9606205250596659,0.0,0.002386634844868735,0.0,0.034606205250596656,0.002386634844868735
DDoS,0.0001524971406786123,0.48421654593976365,0.5144109797941289,0.0,0.001143728555089592,7.624857033930614e-05
DoS,0.00016084928422068523,0.0016084928422068522,0.9953353707576001,0.00032169856844137045,0.0025735885475309636,0.0
Mirai,0.002459419576979833,0.002951303492375799,0.000983767830791933,0.9906542056074766,0.002459419576979833,0.0004918839153959665
Recon,0.3763837638376384,0.0,0.007380073800738007,0.0,0.6014760147601476,0.014760147601476014
Spoofing,0.6062176165803109,0.0,0.0,0.0,0.07772020725388601,0.3160621761658031
