Method,Round,SelectedClients,MeanStaleness,ValMacroF1,MeanLocalLoss
FedAvg,1,10,0.0,0.2559030634702964,0.948450724879577
FedAvg,2,10,0.0,0.2572079267964911,0.7984148296647604
FedAvg,3,10,0.0,0.4130651749189407,0.8183142407618448
FedAvg,4,10,0.0,0.42742052009043724,0.8275680013152893
FedAvg,5,10,0.0,0.4314352987484631,0.8189228963020995
FedAvg,6,10,0.0,0.43285087919125736,0.8290835808097551
FedAvg,7,10,0.0,0.4332644764999616,0.7938295181231454
FedAvg,8,10,0.0,0.4335861572473219,0.8135879380810807
FedAvg,9,10,0.0,0.4337389084055805,0.8538921624928232
FedAvg,10,10,0.0,0.44546989136611614,0.8108704785383027
FedAvg,11,10,0.0,0.45322876889242014,0.8075728145203579
FedAvg,12,10,0.0,0.4533483831772494,0.7328286753023804
FedAvg,13,10,0.0,0.4572004130370242,0.7886118691688462
FedAvg,14,10,0.0,0.47044394813008966,0.7860569239307578
FedAvg,15,10,0.0,0.47358981879398,0.7370571322651736
FedAvg,16,10,0.0,0.5026331758363788,0.7762860178171389
FedAvg,17,10,0.0,0.48873313997033874,0.6975789004038566
FedAvg,18,10,0.0,0.5103000939094514,0.7490106043483743
FedAvg,19,10,0.0,0.5206641809551885,0.7374785338545661
FedAvg,20,10,0.0,0.5006773966406617,0.7259091848779903
FedAvg,21,10,0.0,0.518462462941009,0.7906742642053713
FedAvg,22,10,0.0,0.498756929883325,0.738792559221965
FedAvg,23,10,0.0,0.5099457985340402,0.7491849353257848
FedAvg,24,10,0.0,0.5093464201982422,0.7427936516888397
FedAvg,25,10,0.0,0.5229162601448046,0.7347206717962776
FedAvg,26,10,0.0,0.5278959784324767,0.6899263588061468
FedAvg,27,10,0.0,0.5466618894071569,0.633937075813235
FedAvg,28,10,0.0,0.5342729364208533,0.7269514643195376
FedAvg,29,10,0.0,0.5411598569160032,0.7041715434313838
FedAvg,30,10,0.0,0.5419474566695964,0.6634509295117773
FedAvg,31,10,0.0,0.5409011525670812,0.7322239172687364
FedAvg,32,10,0.0,0.5499808197285599,0.7413289346320693
FedAvg,33,10,0.0,0.5560409874115267,0.6941510921777467
FedAvg,34,10,0.0,0.5559787515544232,0.6666236055932945
FedAvg,35,10,0.0,0.5570878411257191,0.6843298959561877
FedAvg,36,10,0.0,0.5567971812333435,0.7063955149765132
FedAvg,37,10,0.0,0.5571063643851767,0.7200220513339233
FedAvg,38,10,0.0,0.560065311727941,0.7296022484100072
FedAvg,39,10,0.0,0.5657715132952298,0.6715495280528397
FedAvg,40,10,0.0,0.5632208493965426,0.6499322777047588
FedProx,1,10,0.0,0.25317956085822996,0.9409663939216701
FedProx,2,10,0.0,0.3643405681272694,0.7342412828606893
FedProx,3,10,0.0,0.4275846385135335,0.6554291187247152
FedProx,4,10,0.0,0.434638912723688,0.592697271784425
FedProx,5,10,0.0,0.4413169113612953,0.569285218175411
FedProx,6,10,0.0,0.4506004866982087,0.5425922795599916
FedProx,7,10,0.0,0.45411491815263916,0.5262722091430678
FedProx,8,10,0.0,0.47258895683307345,0.5220323930775894
FedProx,9,10,0.0,0.4933714107586023,0.4967438788501677
FedProx,10,10,0.0,0.5028330196355758,0.5001229941893209
FedProx,11,10,0.0,0.5286388518104704,0.4921860925458274
