Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,Scenario,LargestClient,LargestClientShare,Tau_cal_scenario,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,ProbationAdmitsBenign,BenignFalseQuarantine,MaliciousQuarantineRecall,QuarantinePrecision,AdmittedFraction,MinAdmittedPerRound
FedAvg,0.8416956219596943,0.6792224985665275,0.8153667552095688,0.6792224985665275,0.6943280018764884,0.9599256031525861,0.08936863048808957,0.3450492978267094,111.921466588974,69.158935546875,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,,,,,,,,
FedProx,0.8405281445448228,0.6920810509392671,0.788719445744611,0.6920810509392671,0.7065052931909492,0.9578258632699344,0.08810392566089263,0.3430064070415986,135.22390484809875,69.158935546875,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,,,,,,,,
Async-Stale,0.8396942321056289,0.6999961268630607,0.7798291688580496,0.6999961268630607,0.7036867134685063,0.9595211247337639,0.08844702180529283,0.34071332854237935,89.8368661403656,57.056121826171875,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,,,,,,,,
CoordMedian,0.6064767199444059,0.7521093521874436,0.7027476151151664,0.7521093521874436,0.6816457974670032,0.956980024577481,0.07888327106278349,0.6701050621368051,109.47597312927246,69.158935546875,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,,,,,,,,
TrimmedMean,0.6068658790826963,0.7486738908496653,0.7074653968396197,0.7486738908496653,0.6793178645957955,0.9589046852703104,0.07890999574191955,0.6270643515780795,113.49466943740845,69.158935546875,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,,,,,,,,
MultiKrum,0.5892147324530924,0.6496068388376551,0.6790652533830145,0.6496068388376551,0.5177293469570783,0.9570117760286275,0.08185574238006398,1.353696528078788,110.68052959442139,69.158935546875,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,,,,,,,,
RawTrust,0.8374704656011119,0.7038578946608318,0.7684396571400588,0.7038578946608318,0.7114344130309047,0.9578253524593565,0.08692153725941458,0.3481828627950094,94.18683409690857,56.88322448730469,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,,,,,,,,
AgriTrust-ACFL,0.835552466990966,0.7008672978286797,0.7547115511434427,0.7008672978286797,0.7013518369459,0.9583868923562694,0.08783788273465472,0.34524845730725484,112.57844853401184,56.53742980957031,22662,uncapped Dirichlet split (dominant client),3,0.42859043564205884,0.5822607437291804,3.0,0.0,0.0,0.045871559633027525,,0.0,0.9541284403669725,4.0
