Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,Seed
AgriTrust-ACFL,0.8161223071577485,0.5691353380968948,0.8801794500233154,0.5691353380968948,0.5439098131888246,0.9551431265884424,0.1061404113123612,0.6316022687664308,100.88747572898863,51.35050964355469,22662,73
FedAvg,0.8259068797776233,0.5602047377010836,0.8933370533288566,0.5602047377010836,0.5432144582841735,0.9592863268860148,0.1002054506483092,0.6809231521815399,104.4374475479126,69.158935546875,22662,101
FedProx,0.8300486448922864,0.6000938053875057,0.8733940459521409,0.6000938053875057,0.5897915055281918,0.9573451784047236,0.0977232552116254,0.3886792909334666,129.46626591682434,69.158935546875,22662,101
Async-Stale,0.8290757470465601,0.5912093525741597,0.7051346619514272,0.5912093525741597,0.5725026985200549,0.9570687915258468,0.0981374483465794,0.5039233001676907,87.08676767349243,55.15425109863281,22662,101
CoordMedian,0.6080055594162613,0.72420902923497,0.7500836672178082,0.72420902923497,0.667444759988371,0.9549265807682452,0.0787102079668126,0.5589033217785927,106.46101570129396,69.158935546875,22662,101
TrimmedMean,0.6214315496872829,0.7202090249706803,0.7655124549190823,0.7202090249706803,0.666522319610043,0.9602296072151424,0.076483417775951,0.503592615606976,109.40978407859802,69.158935546875,22662,101
MultiKrum,0.5914662960389159,0.6665416425639629,0.672481114263675,0.6665416425639629,0.5287672330680703,0.9586495494804002,0.0815105160364617,1.1808403179961673,120.8166093826294,69.158935546875,22662,101
RawTrust,0.8029742876997915,0.666567395556191,0.7654542549972566,0.666567395556191,0.6468617979358194,0.9597586771720612,0.0741594899234143,0.3600602242953851,96.71002674102785,55.15425109863281,22662,101
AgriTrust-ACFL,0.5899374565670604,0.6529030068505619,0.6665288766994252,0.6529030068505619,0.5140110386414812,0.9583617986505844,0.0817413053826884,0.7523474112040054,117.20634317398073,55.84584045410156,22662,101
FedAvg,0.8267685892981237,0.5659068931400092,0.894203004146391,0.5659068931400092,0.5500135614944663,0.9600242109154116,0.099638352877865,0.6566990747346492,115.17812752723694,69.158935546875,22662,131
FedProx,0.8307157748436415,0.6022915144832799,0.848180760403675,0.6022915144832799,0.5907717827871407,0.9588144039985528,0.0972668390622147,0.3936473160924271,139.99200463294983,69.158935546875,22662,131
Async-Stale,0.8079777623349548,0.5059610142338978,0.5632243516967854,0.5059610142338978,0.4535991319695517,0.9340209838940396,0.1104107570434446,1.238049300078406,97.46292781829834,56.364532470703125,22662,131
CoordMedian,0.6163168867268937,0.710195808666815,0.7538797451355684,0.710195808666815,0.6502078683503894,0.959412469511999,0.0774084975019016,0.5359252507167082,112.63331961631776,69.158935546875,22662,131
TrimmedMean,0.6199027102154274,0.7296788589640655,0.7581837469579394,0.7296788589640655,0.6760332281591603,0.9566485295144233,0.07677512055419,0.4978562331175194,115.21945762634276,69.158935546875,22662,131
MultiKrum,0.5923835997220291,0.6655408873086772,0.6656372232948053,0.6655408873086772,0.5386869184080525,0.9589618826589688,0.0813648683111161,1.1911908284437125,114.12489914894104,69.158935546875,22662,131
RawTrust,0.8081723419041,0.5053175745967934,0.5635409066860823,0.5053175745967934,0.4519680889788153,0.9528497454376028,0.1103645038302249,0.907287613550466,96.90626335144044,56.7103271484375,22662,131
AgriTrust-ACFL,0.5938568450312717,0.6856101223622959,0.6615051514270123,0.6856101223622959,0.5388553822985048,0.9586997260326084,0.0811077186124421,0.5842587018412234,110.9555048942566,54.28976440429688,22662,131
FedAvg,0.8244892286309937,0.5653795246851331,0.8938617343286545,0.5653795246851331,0.5476388615497555,0.9579661135834644,0.1012382903438996,0.6848380962407937,109.23266196250916,69.158935546875,22662,157
FedProx,0.8316886726893676,0.6057020663804019,0.8659983056129951,0.6057020663804019,0.5969930330774821,0.9599220470231632,0.0968144785567594,0.3901927809257532,133.65118885040283,69.158935546875,22662,157
Async-Stale,0.8090340514246004,0.5275057085878964,0.7879387002948685,0.5275057085878964,0.4922886806305859,0.953750160309216,0.109975917241091,0.7408514901558211,93.24769520759584,54.63555908203125,22662,157
CoordMedian,0.6087004864489228,0.7167786521502886,0.7584507172420535,0.7167786521502886,0.6635253679169377,0.9556873576443264,0.07870565033956,0.5455173213632648,109.39697980880736,69.158935546875,22662,157
TrimmedMean,0.623544127866574,0.728837704083539,0.7546800231399334,0.728837704083539,0.671180330556188,0.9565944802057466,0.0761888388125739,0.488215733041174,108.79366040229796,69.158935546875,22662,157
MultiKrum,0.5915218902015288,0.6599544018411428,0.6691522781253728,0.6599544018411428,0.5355596643189956,0.9589469696955608,0.0814714348164034,1.1948478921877843,109.02904462814332,69.158935546875,22662,157
RawTrust,0.8304933981931897,0.5855040836160068,0.8860779460512029,0.5855040836160068,0.5729887700382867,0.9609762483209624,0.0972635422988838,0.4241282897778581,88.59604287147522,54.46266174316406,22662,157
AgriTrust-ACFL,0.5911883252258513,0.6793565666762466,0.6647856096827877,0.6793565666762466,0.5133570413390036,0.9578746334042912,0.0816109821500718,0.8743172911171462,114.40801763534546,54.46266174316406,22662,157
FedAvg,0.8266296038915913,0.5674066468343326,0.8972070797682147,0.5674066468343326,0.5526846178269061,0.9600880538256334,0.0999091668908938,0.6602790805681935,108.74527144432068,69.158935546875,22662,181
FedProx,0.8313273106323836,0.6010099097020256,0.8621705055862039,0.6010099097020256,0.5855812700437825,0.9557318654234432,0.0968027973839153,0.3944710462999726,131.87232089042664,69.158935546875,22662,181
Async-Stale,0.8081445448227936,0.5069058622594672,0.6611035743791183,0.5069058622594672,0.4564373424762145,0.9425964889225864,0.1103972286558301,1.0151791307703866,88.66789937019348,52.38789367675781,22662,181
CoordMedian,0.6166782487838777,0.7170715585907419,0.7451332650057166,0.7170715585907419,0.6584644311478843,0.9576621552933124,0.0773692357838341,0.5574337815860494,108.56740069389345,69.158935546875,22662,181
TrimmedMean,0.6209589993050729,0.7244313639402159,0.7651436687624075,0.7244313639402159,0.673174791090336,0.9598842493235828,0.0765280000109902,0.5105653129248896,109.26705145835876,69.158935546875,22662,181
MultiKrum,0.5906045865184155,0.6602311496361384,0.6610659740520957,0.6602311496361384,0.5242708694995698,0.9581514530249812,0.0816432241692762,1.1964577932462848,110.01149606704712,69.158935546875,22662,181
RawTrust,0.8283808200138986,0.5918797618457796,0.8818340278682936,0.5918797618457796,0.5782078828425713,0.9579250912424518,0.0989445519415687,0.4969406003078815,89.1229829788208,55.15425109863281,22662,181
AgriTrust-ACFL,0.7622237665045171,0.7168170181955597,0.7056147968223309,0.7168170181955597,0.6648791810376765,0.95921969351058,0.0672637773082978,0.4215917738196563,112.05637264251708,57.57481384277344,22662,181
FedAvg,0.8260736622654621,0.563656727143661,0.8925581607789334,0.563656727143661,0.5492401184485909,0.9603042675515756,0.1002387125423534,0.6569442080260363,107.80496621131896,69.158935546875,22662,211
FedProx,0.8331619179986102,0.6052884305622572,0.8603477987827327,0.6052884305622572,0.6013539605035326,0.9596819866774556,0.0953571073147029,0.3798173614865037,130.95858097076416,69.158935546875,22662,211
Async-Stale,0.8073106323835997,0.495162564192235,0.3964177891789665,0.495162564192235,0.4344240720668416,0.933060653263793,0.1107628562880257,1.7170152086955766,88.09676051139832,55.672943115234375,22662,211
CoordMedian,0.6089228630993746,0.7255396237896652,0.7497625052772022,0.7255396237896652,0.6659447379949942,0.9593747429458592,0.0786218457468577,0.5597479554154092,108.63356614112854,69.158935546875,22662,211
TrimmedMean,0.6233217512161223,0.7418846721347196,0.7547557121760632,0.7418846721347196,0.6852868589142744,0.9610156539880552,0.0762709126262401,0.4947961252638673,108.6298325061798,69.158935546875,22662,211
MultiKrum,0.5903822098679639,0.658416068374076,0.6719640184502188,0.658416068374076,0.5288471562250213,0.9578601231455028,0.0817598327545131,1.1502978945938689,108.4376938343048,69.158935546875,22662,211
RawTrust,0.8376372480889507,0.6318121948676985,0.8063453334893934,0.6318121948676985,0.6076294823824767,0.961200838047384,0.0884076836049406,0.3518537180823524,86.84141302108765,55.3271484375,22662,211
AgriTrust-ACFL,0.8340236275191105,0.6356911280290213,0.8357328701184131,0.6356911280290213,0.6211346959931267,0.9595658688426986,0.0950256280005882,0.3628406720910977,110.9223771095276,54.11686706542969,22662,211
FedAvg,0.8266296038915913,0.5646874006484872,0.8941772212015549,0.5646874006484872,0.5495931223297491,0.9585031425782112,0.0997858310647602,0.693901070639089,108.93407678604126,69.158935546875,22662,239
FedProx,0.8308269631688673,0.6079948301132169,0.86852319362819,0.6079948301132169,0.6008299690553679,0.95871086232216,0.097521256774605,0.3943158880646335,133.95429754257202,69.158935546875,22662,239
Async-Stale,0.80864489228631,0.5323275251041004,0.5642165478531629,0.5323275251041004,0.4994229244774539,0.945968495143382,0.1107153481035524,1.3266157174270417,87.82957649230957,55.15425109863281,22662,239
CoordMedian,0.6081445448227936,0.7202489135898861,0.7314654381683199,0.7202489135898861,0.6580673634901664,0.9575998189171168,0.0787829860623874,0.5472298131481352,109.21391367912292,69.158935546875,22662,239
TrimmedMean,0.6203196664350243,0.7340758288368754,0.7664631439022954,0.7340758288368754,0.6811700796870209,0.9591007057149143,0.0766247215877622,0.5104163426774748,111.53206038475037,69.158935546875,22662,239
MultiKrum,0.5906045865184155,0.6611486916822769,0.6396810681611899,0.6611486916822769,0.5286035338192057,0.9585231460663618,0.0817005554425922,1.159291269792373,120.68155550956726,69.158935546875,22662,239
RawTrust,0.786184850590688,0.6726725476725613,0.7291635025963802,0.6726725476725613,0.6181452301549429,0.9594316480507056,0.0718424851252154,0.396548558987875,101.04361009597778,54.46266174316406,22662,239
AgriTrust-ACFL,0.7931341209173037,0.7183296436713965,0.7083021048603128,0.7183296436713965,0.6894238319312405,0.9583879942708572,0.0740763162609514,0.3728129276761394,127.53128719329834,56.01873779296875,22662,239
