Method,PoisonRatio,AttackType,ClientRounds,TrustAUROC_ClientRound,TrustAUPRC_ClientRound,TrustAUROC_FinalRound,MeanTrustMalicious,MeanTrustBenign,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,ProbationAdmitsBenign,BenignFalseQuarantine,MaliciousQuarantineRecall,QuarantinePrecision,AdmittedFraction,MinAdmittedPerRound
RawTrust,0.1,collusive_scale,80,0.7743055555555556,0.23715646296397347,0.875,0.4672267934887978,0.6131416853104823,,,,,,,,
RawTrust,0.1,gaussian,80,0.3628472222222222,0.0850076923514791,0.125,0.7457398092070658,0.606075673905575,,,,,,,,
RawTrust,0.1,model_replace,80,0.6631944444444444,0.15108303421016303,0.875,0.5103922167753292,0.6149490176079273,,,,,,,,
RawTrust,0.1,sign_flip,80,0.795138888888889,0.23668638508034795,0.875,0.4675572246163049,0.6215268379526856,,,,,,,,
RawTrust,0.2,adaptive_slow_drift,80,0.861811391223156,0.7804271209333309,1.0,0.3661320709085303,0.6274300770768384,,,,,,,,
RawTrust,0.2,alie_jitter,80,0.13165266106442577,0.13002479578888776,0.0,0.7974683422775593,0.6218072382983716,,,,,,,,
RawTrust,0.2,collusive_scale,80,0.934640522875817,0.896534772612422,1.0,0.31204258147835323,0.6564320828702651,,,,,,,,
RawTrust,0.2,gaussian,80,0.3492063492063492,0.16934691396045626,0.2857142857142857,0.700096011335121,0.5895401082873039,,,,,,,,
RawTrust,0.2,model_replace,80,0.7366946778711484,0.33526419743001423,1.0,0.5857544614123921,0.6692961697947917,,,,,,,,
RawTrust,0.2,sign_flip,80,0.7777777777777777,0.4888217232780279,1.0,0.546083728100236,0.6772755792149625,,,,,,,,
RawTrust,0.3,adaptive_slow_drift,80,0.9940476190476191,0.9888552867383512,1.0,0.2519698312416642,0.6723077969476284,,,,,,,,
RawTrust,0.3,alie_jitter,80,0.12648809523809526,0.1849606663273462,0.0,0.7823906382671981,0.6347102121696105,,,,,,,,
RawTrust,0.3,collusive_scale,80,0.9962797619047619,0.992816091954023,1.0,0.23384829417147776,0.7425051829823396,,,,,,,,
RawTrust,0.3,gaussian,80,0.6964285714285715,0.39463202722598645,0.6666666666666667,0.5787912746147091,0.657606541304523,,,,,,,,
RawTrust,0.3,model_replace,80,0.8102678571428572,0.6028546724240268,0.8333333333333333,0.5939713279752706,0.7344875858686216,,,,,,,,
RawTrust,0.3,sign_flip,80,0.8854166666666666,0.6718231795046788,1.0,0.5517686809290925,0.7167511013654438,,,,,,,,
RawTrust,0.4,adaptive_slow_drift,80,0.9638942617666022,0.9496360345237416,1.0,0.21083837379522324,0.6369377893637629,,,,,,,,
RawTrust,0.4,alie_jitter,80,0.06705351386202449,0.2546010066674741,0.0,0.7886461487698313,0.5581471550653047,,,,,,,,
RawTrust,0.4,collusive_scale,80,0.9987105093488072,0.9981904607573057,1.0,0.21083837379522324,0.7669141878590476,,,,,,,,
RawTrust,0.4,gaussian,80,0.7498388136686008,0.5464783584392423,0.7,0.5874581457545369,0.6859838779768833,,,,,,,,
RawTrust,0.4,model_replace,80,0.758220502901354,0.5604450504328758,0.65,0.6029349831932411,0.7326016220430522,,,,,,,,
RawTrust,0.4,sign_flip,80,0.7807865892972276,0.587386474217638,0.8,0.5439594331188532,0.6856723842295058,,,,,,,,
