Stage,Method,Init,InitTrust,GateMode,Threshold,Lambda,Components,TrustUpdate,Runs
sensitivity,AgriTrust-ACFL,warm-start,carried,absolute,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,absolute,0.7,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,absolute,0.8,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,absolute,0.85,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,absolute,0.9,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,absolute,0.95,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.5,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.6,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,0.0,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,0.1,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,0.25,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,4
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,0.75,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,1.0,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,1.5,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.7,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.8,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.85,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.9,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
sensitivity,AgriTrust-ACFL,warm-start,carried,hybrid,0.95,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
trust_select,AgriTrust-ACFL,scratch,fresh,hybrid,0.4349,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,asymmetric,3
trust_select,AgriTrust-ACFL,scratch,fresh,hybrid,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,3
trust_select,AgriTrust-ACFL,warm-start,carried,hybrid,0.4349,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,asymmetric,3
trust_select,AgriTrust-ACFL,warm-start,carried,hybrid,0.608,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,3
unsw_federated,AgriTrust-ACFL,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,AgriTrust-ACFL,scratch,fresh,off,0.0,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
unsw_federated,AgriTrust-ACFL,warm-start,carried,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,Async-Stale,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,Async-Stale,warm-start,carried,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,CoordMedian,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,CoordMedian,warm-start,carried,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,FedAvg,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,FedAvg,warm-start,carried,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,FedProx,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,1
unsw_federated,MultiKrum,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,MultiKrum,warm-start,carried,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,RawTrust,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,RawTrust,warm-start,carried,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,TrimmedMean,scratch,fresh,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
unsw_federated,TrimmedMean,warm-start,carried,hybrid,0.6046,0.45,clip+direction+gate+history+norm+probation+reliability+similarity,symmetric,2
