Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,Scenario,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,ProbationAdmitsBenign,BenignFalseQuarantine,MaliciousQuarantineRecall,QuarantinePrecision,AdmittedFraction,MinAdmittedPerRound
FedAvg,0.010729673384294649,0.16666666666666666,0.0017882788973824415,0.16666666666666666,0.0035385898810997127,0.46307656694416616,0.16666666666666666,15.771328568500797,32.93526315689087,22.476654052734375,22662,sign_flip@0.3 from round 1 (cold start),,,,,,,,
CoordMedian,0.24241834607366228,0.5097929308796857,0.24580457361144292,0.5097929308796857,0.27456457335132656,0.8543680770143437,0.14533933477677263,2.4849290739072822,33.73364067077637,22.476654052734375,22662,sign_flip@0.3 from round 1 (cold start),,,,,,,,
TrimmedMean,0.01417651146629604,0.1848075646843995,0.006665298695672416,0.1848075646843995,0.01282281277605568,0.4986875959178638,0.16916952344603228,14.947251751915516,33.09749174118042,22.476654052734375,22662,sign_flip@0.3 from round 1 (cold start),,,,,,,,
MultiKrum,0.5908269631688673,0.7017790119241781,0.6431841143218097,0.7017790119241781,0.6010758291975168,0.9535529872403176,0.08160039177131606,1.049009685031963,33.135663986206055,22.476654052734375,22662,sign_flip@0.3 from round 1 (cold start),,,,,,,,
Async-Stale,0.008700486448922863,0.135146804835924,0.011818456426521672,0.135146804835924,0.02173611111111111,0.4712427946358531,0.17418052614009816,15.271449932855987,28.692480325698853,18.500015258789062,22662,sign_flip@0.3 from round 1 (cold start),,,,,,,,
RawTrust,0.007894371091035442,0.12192561933622008,0.011684551526225424,0.12192561933622008,0.021325148600972135,0.48184929106038227,0.1744040514134189,15.031913361922443,28.750239372253418,18.500015258789062,22662,sign_flip@0.3 from round 1 (cold start),,,,,,,,
AgriTrust-ACFL,0.010729673384294649,0.16666666666666666,0.0017882788973824415,0.16666666666666666,0.0035385898810997127,0.380403104373871,0.16666666666666666,7.061428644072923,34.19752860069275,18.500015258789062,22662,sign_flip@0.3 from round 1 (cold start),0.0,0.0,0.0,0.0,0.0,,1.0,6.0
