Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.007533009034051424,0.16666666666666666,0.0012555015056752374,0.16666666666666666,0.0024922290275708587,0.5,0.16666666666666666,15.822291022395778,31.117915868759155,17.28973388671875,22662,0.3,sign_flip,"2,3,9",157,sign_flip@0.3
CoordMedian,0.7474635163307852,0.6782884012865974,0.7395916434485933,0.6782884012865974,0.6564376943911777,0.9533316155940555,0.06563630911073906,0.44725692806116324,31.190604209899902,17.28973388671875,22662,0.3,sign_flip,"2,3,9",157,sign_flip@0.3
TrimmedMean,0.8112578179291174,0.5474854347189757,0.7842146481571057,0.5474854347189757,0.49515480001349094,0.9490017654927856,0.10066684316315667,0.4884583274717337,32.15906810760498,17.28973388671875,22662,0.3,sign_flip,"2,3,9",157,sign_flip@0.3
MultiKrum,0.6052536483669215,0.7407892149296907,0.69837770243223,0.7407892149296907,0.6735653053304064,0.9589515656549428,0.07918714786543424,0.6110824829729952,31.893808603286743,17.28973388671875,22662,0.3,sign_flip,"2,3,9",157,sign_flip@0.3
Async-Stale,0.7182209867963864,0.16630434276333322,0.2890859010002848,0.16630434276333322,0.14152092017671233,0.3604628562837626,0.1668053973685006,4.433729235171744,27.959198474884033,14.177581787109375,22662,0.3,sign_flip,"2,3,9",157,sign_flip@0.3
RawTrust,0.1879638637943016,0.4371649981029552,0.12207196123192554,0.4371649981029552,0.17568738090720967,0.6095903907167105,0.1588889750559958,6.251474515308085,27.371957063674927,14.177581787109375,22662,0.3,sign_flip,"2,3,9",157,sign_flip@0.3
AgriTrust-ACFL,0.8110632383599722,0.5300370206038857,0.724046483122247,0.5300370206038857,0.491486376553161,0.9565232283237647,0.1085612559483523,0.6402724815733513,34.817063331604004,14.177581787109375,22662,0.3,sign_flip,"2,3,9",157,sign_flip@0.3
FedAvg,0.7328700486448922,0.23473447066484662,0.4580389619850831,0.23473447066484662,0.21092548040844838,0.8457015394918618,0.16189574978484234,3.967143974081015,30.887884616851807,17.28973388671875,22662,0.3,model_replace,"2,3,9",157,model_replace@0.3
CoordMedian,0.6074496177901321,0.7087869273607836,0.7397443548733479,0.7087869273607836,0.6471210932967355,0.954400026715703,0.07902787296513426,0.5472100115642436,31.9543137550354,17.28973388671875,22662,0.3,model_replace,"2,3,9",157,model_replace@0.3
TrimmedMean,0.6187908269631689,0.7060328776895792,0.7545817072100186,0.7060328776895792,0.6407061652725617,0.9590329022447582,0.07718013847173627,0.5220398458585053,31.525880575180054,17.28973388671875,22662,0.3,model_replace,"2,3,9",157,model_replace@0.3
MultiKrum,0.6052536483669215,0.7407892149296907,0.69837770243223,0.7407892149296907,0.6735653053304064,0.9589515656549428,0.07918714786543424,0.6110824829729952,30.60827612876892,17.28973388671875,22662,0.3,model_replace,"2,3,9",157,model_replace@0.3
Async-Stale,0.5690340514246004,0.4321523711566815,0.4636129154149562,0.4321523711566815,0.39033209587100565,0.828072185596608,0.0970592532386451,2.334134015875194,28.30751347541809,14.177581787109375,22662,0.3,model_replace,"2,3,9",157,model_replace@0.3
RawTrust,0.5338151494093121,0.4675965994095044,0.4631504704384959,0.4675965994095044,0.3343176050473002,0.8980217507746788,0.1165811084078402,1.8271043985803772,27.820329189300537,14.177581787109375,22662,0.3,model_replace,"2,3,9",157,model_replace@0.3
AgriTrust-ACFL,0.8084503127171647,0.5107040915225681,0.548717069929175,0.5107040915225681,0.45991545712131193,0.9517549309018792,0.10998235725585614,1.051884882765726,33.768126010894775,14.177581787109375,22662,0.3,model_replace,"2,3,9",157,model_replace@0.3
FedAvg,0.7937178596247394,0.4943946261793603,0.4917023236571845,0.4943946261793603,0.41794371271049596,0.9095362226247078,0.11158998867347242,1.5546346035773753,31.981953620910645,17.28973388671875,22662,0.3,collusive_scale,"2,3,9",157,collusive_scale@0.3
CoordMedian,0.6072550382209868,0.7071376392068384,0.7514771615958572,0.7071376392068384,0.6451129194725647,0.954396383528822,0.07917720780407111,0.6005817846963042,31.41382336616516,17.28973388671875,22662,0.3,collusive_scale,"2,3,9",157,collusive_scale@0.3
TrimmedMean,0.5883530229325921,0.6316219659503112,0.49322932488350624,0.6316219659503112,0.4977148265090621,0.9479300154930366,0.08359448219885758,1.475325600213972,30.0342857837677,17.28973388671875,22662,0.3,collusive_scale,"2,3,9",157,collusive_scale@0.3
MultiKrum,0.6052536483669215,0.7407892149296907,0.69837770243223,0.7407892149296907,0.6735653053304064,0.9589515656549428,0.07918714786543424,0.6110824829729952,31.673337697982788,17.28973388671875,22662,0.3,collusive_scale,"2,3,9",157,collusive_scale@0.3
Async-Stale,0.5607505211952745,0.5106599340099575,0.4941249633676466,0.5106599340099575,0.43768635514533477,0.9139974465366575,0.09105747955597938,1.2010578690031304,28.113851308822632,14.177581787109375,22662,0.3,collusive_scale,"2,3,9",157,collusive_scale@0.3
RawTrust,0.7930507296733843,0.6659359626465257,0.7460523218683418,0.6659359626465257,0.6652842887728464,0.9581811854052263,0.07449719958656469,0.3690355333131973,28.125941514968872,14.177581787109375,22662,0.3,collusive_scale,"2,3,9",157,collusive_scale@0.3
AgriTrust-ACFL,0.7471855455177207,0.6834540560236834,0.7145025345816033,0.6834540560236834,0.597965558410084,0.9582399660030227,0.0663980997711744,0.4372793765831376,35.12193512916565,14.177581787109375,22662,0.3,collusive_scale,"2,3,9",157,collusive_scale@0.3
FedAvg,0.835496872828353,0.6008967888000688,0.8561745579282666,0.6008967888000688,0.5906298103605137,0.958470789578843,0.09222038061141048,0.3543548821606776,30.34307885169983,17.28973388671875,22662,0.3,adaptive_slow_drift,"2,3,9",157,adaptive_slow_drift@0.3
CoordMedian,0.7033495482974288,0.6845094769634165,0.7542301872380931,0.6845094769634165,0.6432008100003822,0.9546313829382284,0.06902895869083983,0.43619716938925146,31.105726718902588,17.28973388671875,22662,0.3,adaptive_slow_drift,"2,3,9",157,adaptive_slow_drift@0.3
TrimmedMean,0.6871994440583739,0.6940748513168008,0.769401192857534,0.6940748513168008,0.6618388318124969,0.9560957089739985,0.0719831264714644,0.4422549453878538,32.07905626296997,17.28973388671875,22662,0.3,adaptive_slow_drift,"2,3,9",157,adaptive_slow_drift@0.3
MultiKrum,0.8152605976372481,0.5843103901272914,0.7659964193947965,0.5843103901272914,0.5631038296086472,0.9428743494671181,0.08291679083319543,0.5358242405451422,31.52177095413208,17.28973388671875,22662,0.3,adaptive_slow_drift,"2,3,9",157,adaptive_slow_drift@0.3
Async-Stale,0.8315774843641418,0.570410282064823,0.6968701508296476,0.570410282064823,0.5539560813546076,0.9555777238414338,0.09543980375655621,0.3681583840409264,28.892605543136597,14.177581787109375,22662,0.3,adaptive_slow_drift,"2,3,9",157,adaptive_slow_drift@0.3
RawTrust,0.8296038915913829,0.595759348373266,0.7053723895656968,0.595759348373266,0.5764215742364335,0.9569108290296494,0.09781430184524716,0.4018098159520882,28.552376747131348,14.177581787109375,22662,0.3,adaptive_slow_drift,"2,3,9",157,adaptive_slow_drift@0.3
AgriTrust-ACFL,0.6963446838082001,0.679303867699386,0.7108198766479107,0.679303867699386,0.5853302762623712,0.9581019735949918,0.07280646143436052,0.4483029212760318,35.29817223548889,14.177581787109375,22662,0.3,adaptive_slow_drift,"2,3,9",157,adaptive_slow_drift@0.3
