Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.7522168172341904,0.3329037906215471,0.2211540980921968,0.3329037906215471,0.26442159139509985,0.861208091734594,0.14455656163806593,3.448435476307125,30.964935064315796,17.28973388671875,22662,0.3,sign_flip,"0,6,9",131,sign_flip@0.3
CoordMedian,0.8101459346768589,0.5468472699989463,0.5492915260969772,0.5468472699989463,0.5121940562851203,0.9161367856612607,0.10949473515410883,0.9134070556823534,31.186877727508545,17.28973388671875,22662,0.3,sign_flip,"0,6,9",131,sign_flip@0.3
TrimmedMean,0.7518276580958999,0.3328148339561513,0.19581375204079507,0.3328148339561513,0.24075255315644026,0.8776307235948918,0.13729381465465976,2.1874063699700215,32.52648043632507,17.28973388671875,22662,0.3,sign_flip,"0,6,9",131,sign_flip@0.3
MultiKrum,0.8124252953439889,0.5554130793672402,0.7245789147441802,0.5554130793672402,0.5255336256779526,0.9595125239603529,0.10831601068562885,0.7471102472439781,31.07663083076477,17.28973388671875,22662,0.3,sign_flip,"0,6,9",131,sign_flip@0.3
Async-Stale,0.7523835997220292,0.33601623095328387,0.388307517876948,0.33601623095328387,0.2718878654121232,0.9208444357420434,0.14457753940926552,1.8210337480085705,22.068708419799805,13.485992431640625,22662,0.3,sign_flip,"0,6,9",131,sign_flip@0.3
RawTrust,0.8036136205698402,0.5422585095284365,0.5085108028238016,0.5422585095284365,0.502644178368841,0.9252286452870977,0.11094054726273837,1.4666448571431583,23.199063301086426,13.485992431640625,22662,0.3,sign_flip,"0,6,9",131,sign_flip@0.3
AgriTrust-ACFL,0.8097845726198749,0.5432526183638825,0.6883579049535826,0.5432526183638825,0.5060509663003818,0.948374314242042,0.10951772198766319,0.6587090693022704,28.59475088119507,13.485992431640625,22662,0.3,sign_flip,"0,6,9",131,sign_flip@0.3
FedAvg,0.8023071577484364,0.6886018500939607,0.7399080164493518,0.6886018500939607,0.6998948952918048,0.9598113629269033,0.0715168118470336,0.3739943893005644,31.714390993118286,17.28973388671875,22662,0.3,model_replace,"0,6,9",131,model_replace@0.3
CoordMedian,0.6083669214732453,0.71183651920026,0.7323329200675724,0.71183651920026,0.6541843071086679,0.9587569044991557,0.07870131546579791,0.567094929759078,32.018975257873535,17.28973388671875,22662,0.3,model_replace,"0,6,9",131,model_replace@0.3
TrimmedMean,0.6068102849200834,0.6636748901878119,0.7815893861577717,0.6636748901878119,0.6057083023416852,0.9568952587688379,0.07901276929066058,0.6297997072838392,31.83085060119629,17.28973388671875,22662,0.3,model_replace,"0,6,9",131,model_replace@0.3
MultiKrum,0.8124252953439889,0.5554130793672402,0.7245789147441802,0.5554130793672402,0.5255336256779526,0.9595125478166895,0.10831601068562885,0.7471102373176536,31.111955642700195,17.28973388671875,22662,0.3,model_replace,"0,6,9",131,model_replace@0.3
Async-Stale,0.8099791521890202,0.5089380406725564,0.7134527650678216,0.5089380406725564,0.4637054985549734,0.9528143978088766,0.109237396081729,0.7524932409786249,22.96816873550415,13.485992431640625,22662,0.3,model_replace,"0,6,9",131,model_replace@0.3
RawTrust,0.8073106323835997,0.5838892475379666,0.6959874932823987,0.5838892475379666,0.5331675811668918,0.95335254247812,0.10789222910025277,0.5167012812746643,22.49099087715149,13.485992431640625,22662,0.3,model_replace,"0,6,9",131,model_replace@0.3
AgriTrust-ACFL,0.8228492008339124,0.5824018717042381,0.8662319755284331,0.5824018717042381,0.5624727173935166,0.958306346159531,0.1021181080144623,0.47081821522165623,27.6982581615448,13.485992431640625,22662,0.3,model_replace,"0,6,9",131,model_replace@0.3
FedAvg,0.7784850590687977,0.6827407681353082,0.6816537384912355,0.6827407681353082,0.6687100364718641,0.9607531789326771,0.06321477105698552,0.40876033413462215,31.806960105895996,17.28973388671875,22662,0.3,collusive_scale,"0,6,9",131,collusive_scale@0.3
CoordMedian,0.6150382209867964,0.7175463012815841,0.7158775989419421,0.7175463012815841,0.6654189856194833,0.9578062313101051,0.07759575476125166,0.6078874095412556,32.72383522987366,17.28973388671875,22662,0.3,collusive_scale,"0,6,9",131,collusive_scale@0.3
TrimmedMean,0.7800694927032662,0.33793055137930605,0.687264244992489,0.33793055137930605,0.3589554210330936,0.9264602495569548,0.12397683517338592,0.7575334427824241,31.75022268295288,17.28973388671875,22662,0.3,collusive_scale,"0,6,9",131,collusive_scale@0.3
MultiKrum,0.8124252953439889,0.5554130793672402,0.7245789147441802,0.5554130793672402,0.5255336256779526,0.9595125478166895,0.10831601068562885,0.7471102373176536,31.195146560668945,17.28973388671875,22662,0.3,collusive_scale,"0,6,9",131,collusive_scale@0.3
Async-Stale,0.8121195274496178,0.5287405598616525,0.7948743934268917,0.5287405598616525,0.502659348830263,0.9538193432469759,0.10848059618505439,0.6443578233232267,22.907490730285645,13.485992431640625,22662,0.3,collusive_scale,"0,6,9",131,collusive_scale@0.3
RawTrust,0.8242946490618485,0.5976782969601039,0.7910984298570671,0.5976782969601039,0.5348851002639438,0.9584533456367438,0.09745002208806862,0.38492319724366286,21.27000141143799,13.485992431640625,22662,0.3,collusive_scale,"0,6,9",131,collusive_scale@0.3
AgriTrust-ACFL,0.8224878387769284,0.5835289751222921,0.8603198230905517,0.5835289751222921,0.5608714260541686,0.9575822719028956,0.10227267402919145,0.47316225974353215,28.911797523498535,13.485992431640625,22662,0.3,collusive_scale,"0,6,9",131,collusive_scale@0.3
FedAvg,0.8138707435719249,0.5351924852755486,0.7295185580181283,0.5351924852755486,0.5025223428729738,0.9543659092846646,0.10734020855551535,0.7819551890237405,32.30732440948486,17.28973388671875,22662,0.3,adaptive_slow_drift,"0,6,9",131,adaptive_slow_drift@0.3
CoordMedian,0.8291035441278666,0.5798158047328598,0.6724572049877421,0.5798158047328598,0.5688109504618651,0.9538465590297834,0.09211405335240329,0.3883895734635892,31.15068745613098,17.28973388671875,22662,0.3,adaptive_slow_drift,"0,6,9",131,adaptive_slow_drift@0.3
TrimmedMean,0.78090340514246,0.6278059614048572,0.7901957350223836,0.6278059614048572,0.6069753106339284,0.955927893502924,0.07455325210619254,0.40050027499688134,30.653373956680298,17.28973388671875,22662,0.3,adaptive_slow_drift,"0,6,9",131,adaptive_slow_drift@0.3
MultiKrum,0.7271994440583739,0.6172427777017861,0.7851841477398436,0.6172427777017861,0.5664928192045449,0.9544189196329645,0.06966612508681957,0.4858958026705837,31.16915988922119,17.28973388671875,22662,0.3,adaptive_slow_drift,"0,6,9",131,adaptive_slow_drift@0.3
Async-Stale,0.8087282835302293,0.5254205478709117,0.5623545785827859,0.5254205478709117,0.487493358752593,0.9467290607042852,0.11040620608873387,0.8124551812596498,22.61231565475464,13.485992431640625,22662,0.3,adaptive_slow_drift,"0,6,9",131,adaptive_slow_drift@0.3
RawTrust,0.8249617790132037,0.5995452862154402,0.6344252592501786,0.5995452862154402,0.541679664407486,0.957756794840772,0.09856722549082479,0.43575473809126963,22.478906631469727,13.485992431640625,22662,0.3,adaptive_slow_drift,"0,6,9",131,adaptive_slow_drift@0.3
AgriTrust-ACFL,0.8206254343293954,0.5758417758360969,0.8653239542934893,0.5758417758360969,0.5513754555036386,0.9569899872505084,0.10340414011155152,0.5177603756433277,28.384718418121338,13.485992431640625,22662,0.3,adaptive_slow_drift,"0,6,9",131,adaptive_slow_drift@0.3
