Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.007533009034051424,0.16666666666666666,0.0012555015056752374,0.16666666666666666,0.0024922290275708587,0.5,0.16666666666666666,15.822291022395778,30.353087663650513,17.28973388671875,22662,0.3,sign_flip,"2,3,6",101,sign_flip@0.3
CoordMedian,0.598082001389854,0.6785536060928892,0.5480789373623753,0.6785536060928892,0.5514748649917823,0.9570924007187727,0.0803270016114191,0.6717031198526632,32.38769507408142,17.28973388671875,22662,0.3,sign_flip,"2,3,6",101,sign_flip@0.3
TrimmedMean,0.6585962473940237,0.6202519647965136,0.5283045856528847,0.6202519647965136,0.47916570752276827,0.885046611881004,0.07386553384985949,0.6895918867576613,32.61925768852234,17.28973388671875,22662,0.3,sign_flip,"2,3,6",101,sign_flip@0.3
MultiKrum,0.6030854760250174,0.7123880181574788,0.7233053065457632,0.7123880181574788,0.6230487273491526,0.9590882796273701,0.07953195274486982,0.7232626287233613,30.418118715286255,17.28973388671875,22662,0.3,sign_flip,"2,3,6",101,sign_flip@0.3
Async-Stale,0.06879777623349548,0.23915176022055648,0.02723227428890829,0.23915176022055648,0.044779119634580776,0.42366918648699387,0.1689831276970386,14.643899942522786,26.05246067047119,13.831787109375,22662,0.3,sign_flip,"2,3,6",101,sign_flip@0.3
RawTrust,0.15246699096594857,0.41531953898523777,0.0723677065489133,0.41531953898523777,0.12006478259188065,0.5298569432023167,0.16287264181133834,13.38828969533024,25.08168601989746,13.831787109375,22662,0.3,sign_flip,"2,3,6",101,sign_flip@0.3
AgriTrust-ACFL,0.8072828353022933,0.5555609224492014,0.5638389791758947,0.5555609224492014,0.4639937833045186,0.9176698735158236,0.10062660529274137,0.45432267730793924,31.408758878707886,13.831787109375,22662,0.3,sign_flip,"2,3,6",101,sign_flip@0.3
FedAvg,0.7292842251563586,0.17035670356703567,0.24656012197721733,0.17035670356703567,0.1477523401399286,0.7565585155460804,0.1664895016155767,3.593391260071931,31.597788333892822,17.28973388671875,22662,0.3,model_replace,"2,3,6",101,model_replace@0.3
CoordMedian,0.6072828353022932,0.7076817167853026,0.7342771753740026,0.7076817167853026,0.6430625695885387,0.9589344286175541,0.07898495936869052,0.518303475499565,31.828885555267334,17.28973388671875,22662,0.3,model_replace,"2,3,6",101,model_replace@0.3
TrimmedMean,0.7327032661570535,0.7306205410299472,0.7405681109781507,0.7306205410299472,0.7098915467723476,0.9602070503182357,0.06830328640929378,0.4235411061164019,32.164833307266235,17.28973388671875,22662,0.3,model_replace,"2,3,6",101,model_replace@0.3
MultiKrum,0.6030854760250174,0.7123880181574788,0.7233053065457632,0.7123880181574788,0.6230487273491526,0.9590882796273701,0.07953195274486982,0.7232626287233613,33.48171401023865,17.28973388671875,22662,0.3,model_replace,"2,3,6",101,model_replace@0.3
Async-Stale,0.747324530924253,0.3007877957399675,0.21079499760811946,0.3007877957399675,0.24739153958488966,0.6126644359387818,0.14739361998602465,3.9459966229350365,26.152217149734497,13.831787109375,22662,0.3,model_replace,"2,3,6",101,model_replace@0.3
RawTrust,0.7300347463516331,0.3274481963148951,0.17725653339399558,0.3274481963148951,0.2189173674463117,0.7674466040552872,0.1416800019201149,4.051744299306405,24.276582956314087,13.831787109375,22662,0.3,model_replace,"2,3,6",101,model_replace@0.3
AgriTrust-ACFL,0.8028630993745657,0.48280192583205306,0.3906144430941458,0.48280192583205306,0.4231199491046535,0.8775798449999265,0.11246832361659696,2.744400941947705,32.30712652206421,13.831787109375,22662,0.3,model_replace,"2,3,6",101,model_replace@0.3
FedAvg,0.7853787352328006,0.49047066794201705,0.46438989255922086,0.49047066794201705,0.3991121113374594,0.8886108527955359,0.11304548905007065,1.5341623150647608,31.772249221801758,17.28973388671875,22662,0.3,collusive_scale,"2,3,6",101,collusive_scale@0.3
CoordMedian,0.732314107018763,0.7416394975046682,0.7127969958279329,0.7416394975046682,0.7087521496705605,0.9594999998647857,0.06863887314794152,0.4402805253328458,31.124715566635132,17.28973388671875,22662,0.3,collusive_scale,"2,3,6",101,collusive_scale@0.3
