Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.752967338429465,0.35639046300447835,0.3749790840514596,0.35639046300447835,0.3126065806788855,0.5434417399806141,0.1449842901176844,3.8039228714397395,31.244206428527832,17.28973388671875,22662,0.3,sign_flip,"4,7,9",181,sign_flip@0.3
CoordMedian,0.7948575399583043,0.4959826662020439,0.4490613053204589,0.4959826662020439,0.3831283791469899,0.9448494716244467,0.11165571671367731,0.8166430405531633,30.8748836517334,17.28973388671875,22662,0.3,sign_flip,"4,7,9",181,sign_flip@0.3
TrimmedMean,0.7472411396803336,0.3559720795713028,0.33454682000775415,0.3559720795713028,0.24894068223505372,0.9212850959366299,0.14015248906881775,1.9328604160060279,31.744028329849243,17.28973388671875,22662,0.3,sign_flip,"4,7,9",181,sign_flip@0.3
MultiKrum,0.7778735232800555,0.7273655116810569,0.6819457481731392,0.7273655116810569,0.6923180597493501,0.9588978153478013,0.06543178742709686,0.4115412423071348,31.510738611221313,17.28973388671875,22662,0.3,sign_flip,"4,7,9",181,sign_flip@0.3
Async-Stale,0.7482418346073663,0.30577352952696374,0.3650800014412288,0.30577352952696374,0.2649235036621366,0.7652187810038776,0.14935048041681165,3.880638129297224,26.982454776763916,14.004684448242188,22662,0.3,sign_flip,"4,7,9",181,sign_flip@0.3
RawTrust,0.7519388464211257,0.3727815628070797,0.3182520497496067,0.3727815628070797,0.33773978293116597,0.9236923989453278,0.14621607753379476,2.4973553241822493,27.435295343399048,14.004684448242188,22662,0.3,sign_flip,"4,7,9",181,sign_flip@0.3
AgriTrust-ACFL,0.78498957609451,0.48478927690493334,0.4974463860838587,0.48478927690493334,0.47591784953745764,0.9393025262009557,0.1259059872286205,0.8883119948419705,33.46829390525818,14.004684448242188,22662,0.3,sign_flip,"4,7,9",181,sign_flip@0.3
FedAvg,0.8348575399583044,0.6040871559963089,0.8701755967952685,0.6040871559963089,0.6158471318559273,0.9569058549199564,0.09442564192838669,0.35575946990087676,30.943551540374756,17.28973388671875,22662,0.3,model_replace,"4,7,9",181,model_replace@0.3
CoordMedian,0.6074774148714385,0.670139505997494,0.7573670448888924,0.670139505997494,0.5918217042119381,0.9548921036986083,0.07892494003046951,0.564922300150942,30.963683128356934,17.28973388671875,22662,0.3,model_replace,"4,7,9",181,model_replace@0.3
TrimmedMean,0.6058929812369701,0.6336387002473157,0.769653921451945,0.6336387002473157,0.554495819197363,0.9533580361889022,0.07908423255205528,0.6102580153532472,30.229624032974243,17.28973388671875,22662,0.3,model_replace,"4,7,9",181,model_replace@0.3
MultiKrum,0.7778735232800555,0.7273655116810569,0.6819457481731392,0.7273655116810569,0.6923180597493501,0.9588977993509836,0.06543178742709686,0.41154124533503134,31.422842025756836,17.28973388671875,22662,0.3,model_replace,"4,7,9",181,model_replace@0.3
Async-Stale,0.5847671994440584,0.679017011757678,0.7015098908825794,0.679017011757678,0.5791240312062474,0.9452446830801308,0.08265680587127137,1.2914790181614122,26.831836938858032,14.004684448242188,22662,0.3,model_replace,"4,7,9",181,model_replace@0.3
RawTrust,0.6062821403752606,0.7337618911823048,0.7414017114433524,0.7337618911823048,0.6834907891633959,0.9565372432818241,0.07905437541445999,0.6552613960347518,27.4946928024292,14.004684448242188,22662,0.3,model_replace,"4,7,9",181,model_replace@0.3
AgriTrust-ACFL,0.5876580958999305,0.6517600214316451,0.4937468267823006,0.6517600214316451,0.48916967152416263,0.9562687422288704,0.08209849096663364,1.131269320709833,33.768831729888916,14.004684448242188,22662,0.3,model_replace,"4,7,9",181,model_replace@0.3
FedAvg,0.8335232800555942,0.6022650088231363,0.7911657545949736,0.6022650088231363,0.5962135503605174,0.953902878983949,0.09408837771972695,0.3789717262280416,30.790210485458374,17.28973388671875,22662,0.3,collusive_scale,"4,7,9",181,collusive_scale@0.3
CoordMedian,0.6018068102849201,0.7012984308709754,0.7118081960380372,0.7012984308709754,0.6032740968384429,0.953924389348304,0.07980063141225836,0.5775128604811255,30.611812114715576,17.28973388671875,22662,0.3,collusive_scale,"4,7,9",181,collusive_scale@0.3
TrimmedMean,0.7410979847116053,0.5607595538434931,0.6400781130136614,0.5607595538434931,0.512402918724269,0.9480979959055085,0.08185529143357322,0.48664450344678684,30.298038005828857,17.28973388671875,22662,0.3,collusive_scale,"4,7,9",181,collusive_scale@0.3
MultiKrum,0.7778735232800555,0.7273655116810569,0.6819457481731392,0.7273655116810569,0.6923180597493501,0.9588977993509836,0.06543178742709686,0.41154124533503134,31.066052436828613,17.28973388671875,22662,0.3,collusive_scale,"4,7,9",181,collusive_scale@0.3
Async-Stale,0.5906045865184155,0.6691256294376843,0.661315643096907,0.6691256294376843,0.5122020516295734,0.9518584452284666,0.08175037173104303,1.104588751613688,27.140398502349854,14.004684448242188,22662,0.3,collusive_scale,"4,7,9",181,collusive_scale@0.3
