Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.07922168172341904,0.222276498138956,0.026697368169523252,0.222276498138956,0.04065554683089969,0.5342742365412202,0.16875863116153678,14.672323511487399,31.204481840133667,17.28973388671875,22662,0.3,sign_flip,"6,7,8",211,sign_flip@0.3
CoordMedian,0.590993745656706,0.6355318624395186,0.5317052277061308,0.6355318624395186,0.4960295128922592,0.9574216111476229,0.08151285107086474,0.9790475795699577,30.345160484313965,17.28973388671875,22662,0.3,sign_flip,"6,7,8",211,sign_flip@0.3
TrimmedMean,0.579763724808895,0.5694652428649146,0.41274908204099053,0.5694652428649146,0.39593460129458896,0.940573793340901,0.08344257441500308,1.427904423001019,31.300800561904907,17.28973388671875,22662,0.3,sign_flip,"6,7,8",211,sign_flip@0.3
MultiKrum,0.5939124391938846,0.6822541620866623,0.6530679003548242,0.6822541620866623,0.5580213335745127,0.959334325859066,0.08105800441327833,0.8579929794153037,30.947447299957275,17.28973388671875,22662,0.3,sign_flip,"6,7,8",211,sign_flip@0.3
Async-Stale,0.16678248783877692,0.32025092488338425,0.03992930984655276,0.32025092488338425,0.06687478562110004,0.47337768420522636,0.16041557240255247,12.275250248168437,27.10324263572693,14.004684448242188,22662,0.3,sign_flip,"6,7,8",211,sign_flip@0.3
RawTrust,0.17601111883252257,0.3291512519435955,0.0417044448259044,0.3291512519435955,0.07159756331597618,0.6135310473555581,0.16168168577183606,11.078644578956228,27.093822240829468,14.004684448242188,22662,0.3,sign_flip,"6,7,8",211,sign_flip@0.3
AgriTrust-ACFL,0.8211535788742182,0.5917873906814948,0.6929033954800193,0.5917873906814948,0.5362710126063505,0.9543411974966204,0.09769478320363661,0.3941420647959213,33.98917841911316,14.004684448242188,22662,0.3,sign_flip,"6,7,8",211,sign_flip@0.3
FedAvg,0.7404586518415567,0.24781225139220364,0.22107387533326583,0.24781225139220364,0.2305829922024869,0.845287828392027,0.15607976992927083,3.5523274420601445,30.99925661087036,17.28973388671875,22662,0.3,model_replace,"6,7,8",211,model_replace@0.3
CoordMedian,0.607866574009729,0.707431241167822,0.748389573381882,0.707431241167822,0.6493358840311291,0.9555688970524591,0.07897604516859912,0.5307060534821089,30.806809425354004,17.28973388671875,22662,0.3,model_replace,"6,7,8",211,model_replace@0.3
TrimmedMean,0.7329256428075052,0.7028586137328774,0.7723209057143837,0.7028586137328774,0.6930799844009377,0.9577842575924032,0.07052313085112297,0.40301944439437654,30.535645246505737,17.28973388671875,22662,0.3,model_replace,"6,7,8",211,model_replace@0.3
MultiKrum,0.5939124391938846,0.6822541620866623,0.6530679003548242,0.6822541620866623,0.5580213335745127,0.959334325859066,0.08105800441327833,0.8579929794153037,29.948899269104004,17.28973388671875,22662,0.3,model_replace,"6,7,8",211,model_replace@0.3
Async-Stale,0.8028630993745657,0.48140269808020775,0.5613816477744885,0.48140269808020775,0.42738022264289205,0.9181184339579817,0.1134817984979501,1.5829307371547252,26.36490535736084,14.004684448242188,22662,0.3,model_replace,"6,7,8",211,model_replace@0.3
RawTrust,0.7502710215427381,0.3182116252683031,0.22376296378459318,0.3182116252683031,0.2623540518292493,0.8520595760869397,0.14700206120790676,3.2177291981854825,26.78518843650818,14.004684448242188,22662,0.3,model_replace,"6,7,8",211,model_replace@0.3
AgriTrust-ACFL,0.8331063238359973,0.6110746937133532,0.8471881367942058,0.6110746937133532,0.5987886466016005,0.9594846697965501,0.0949081945072824,0.3610294707238636,32.69525694847107,14.004684448242188,22662,0.3,model_replace,"6,7,8",211,model_replace@0.3
FedAvg,0.5676719944405837,0.5528005217699384,0.3880297663496075,0.5528005217699384,0.3988419098350409,0.7440513566882189,0.08626663321562657,1.349400725046761,31.061639070510864,17.28973388671875,22662,0.3,collusive_scale,"6,7,8",211,collusive_scale@0.3
CoordMedian,0.8352189020152884,0.6385179570154599,0.8239597120591703,0.6385179570154599,0.6506283472665962,0.9573337926778128,0.08652687164238086,0.3517407921276387,31.267383337020874,17.28973388671875,22662,0.3,collusive_scale,"6,7,8",211,collusive_scale@0.3
TrimmedMean,0.8045587213342599,0.5639590796894742,0.5663969269775455,0.5639590796894742,0.5610145199064364,0.9386114463812955,0.11321135511645491,0.9141044678902089,30.801310539245605,17.28973388671875,22662,0.3,collusive_scale,"6,7,8",211,collusive_scale@0.3
MultiKrum,0.5939124391938846,0.6822541620866623,0.6530679003548242,0.6822541620866623,0.5580213335745127,0.959334325859066,0.08105800441327833,0.8579929794153037,30.751502513885498,17.28973388671875,22662,0.3,collusive_scale,"6,7,8",211,collusive_scale@0.3
