Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
FedAvg,0.7378735232800556,0.324811797358354,0.19670761850953958,0.324811797358354,0.24067521394313154,0.576066083410405,0.14770861267371524,4.097326525088306,30.755205392837524,17.28973388671875,22662,0.3,sign_flip,"0,2,6",239,sign_flip@0.3
CoordMedian,0.8103405142460042,0.5735146034496944,0.5047850390124281,0.5735146034496944,0.5279247231314084,0.8120569090715887,0.10901115171220566,1.02929585549016,30.61281967163086,17.28973388671875,22662,0.3,sign_flip,"0,2,6",239,sign_flip@0.3
TrimmedMean,0.7523280055594163,0.36457911614338795,0.3499220198905091,0.36457911614338795,0.30865968694481566,0.7050024833581988,0.14233677763040856,3.437038503663961,32.51382780075073,17.28973388671875,22662,0.3,sign_flip,"0,2,6",239,sign_flip@0.3
MultiKrum,0.8351633078526755,0.6086460295742288,0.8303593215178423,0.6086460295742288,0.5920179790101519,0.9592211438965518,0.09155935773209818,0.3616827886591234,32.23578953742981,17.28973388671875,22662,0.3,sign_flip,"0,2,6",239,sign_flip@0.3
Async-Stale,0.6413064628214038,0.2927261623888307,0.14512011370086678,0.2927261623888307,0.17209907918466064,0.5608625248613771,0.16507684920613144,5.277611604129145,25.783042192459106,14.52337646484375,22662,0.3,sign_flip,"0,2,6",239,sign_flip@0.3
RawTrust,0.7470465601111883,0.3321070021603762,0.20606248390553206,0.3321070021603762,0.2509867959201468,0.7709601410954613,0.14420287752542163,3.96415859255466,25.700149297714233,14.52337646484375,22662,0.3,sign_flip,"0,2,6",239,sign_flip@0.3
AgriTrust-ACFL,0.8076441973592773,0.4964488384431777,0.3950556579663907,0.4964488384431777,0.4339552830450155,0.9194437396045437,0.11034236780783103,1.5158787508468563,32.13245749473572,14.52337646484375,22662,0.3,sign_flip,"0,2,6",239,sign_flip@0.3
FedAvg,0.8015844336344684,0.5835101757451021,0.6779641677092431,0.5835101757451021,0.5262242895747443,0.9303334994625939,0.1099450183000143,0.682665217539114,30.796573400497437,17.28973388671875,22662,0.3,model_replace,"0,2,6",239,model_replace@0.3
CoordMedian,0.6182070882557331,0.7270093642469829,0.7400639948198143,0.7270093642469829,0.6706744709357834,0.9590567016148434,0.07699710465164898,0.5395933717077527,30.553163051605225,17.28973388671875,22662,0.3,model_replace,"0,2,6",239,model_replace@0.3
TrimmedMean,0.5994718554551772,0.7089951092589244,0.6929673609106347,0.7089951092589244,0.6135483506364167,0.9598197173568034,0.08011520418089378,0.6579721550141691,30.49160599708557,17.28973388671875,22662,0.3,model_replace,"0,2,6",239,model_replace@0.3
MultiKrum,0.8351633078526755,0.6086460295742288,0.8303593215178423,0.6086460295742288,0.5920179790101519,0.9592211438965518,0.09155935773209818,0.3616827886591234,31.858901023864746,17.28973388671875,22662,0.3,model_replace,"0,2,6",239,model_replace@0.3
Async-Stale,0.6414732453092425,0.5857179078341227,0.500619202122521,0.5857179078341227,0.45754604823030925,0.9433761539134419,0.08628884425971177,0.7082430548297255,24.93618130683899,14.52337646484375,22662,0.3,model_replace,"0,2,6",239,model_replace@0.3
RawTrust,0.8220986796386379,0.6271271312756573,0.7321204088422295,0.6271271312756573,0.5786032864330616,0.9507465499678633,0.09760247638994025,0.4190163648643328,26.51411724090576,14.52337646484375,22662,0.3,model_replace,"0,2,6",239,model_replace@0.3
AgriTrust-ACFL,0.8318832522585129,0.6293817693918432,0.7970673881080202,0.6293817693918432,0.6285234656304902,0.9549327973324563,0.0875444266185033,0.35615190856770146,31.73083806037903,14.52337646484375,22662,0.3,model_replace,"0,2,6",239,model_replace@0.3
FedAvg,0.8084781097984711,0.5530384662389992,0.643294260620534,0.5530384662389992,0.4750554474650916,0.954470740517419,0.10401918558616503,0.5439135070277074,31.347625255584717,17.28973388671875,22662,0.3,collusive_scale,"0,2,6",239,collusive_scale@0.3
CoordMedian,0.6087282835302293,0.7429187433256019,0.7011450905761256,0.7429187433256019,0.6758045292433583,0.9592165533536435,0.07851767511498452,0.6487579403329228,30.0875346660614,17.28973388671875,22662,0.3,collusive_scale,"0,2,6",239,collusive_scale@0.3
TrimmedMean,0.603307852675469,0.695129546881354,0.6766367815688343,0.695129546881354,0.6248899013735911,0.9502378779121998,0.07953815627541432,1.9849612969268826,31.180017709732056,17.28973388671875,22662,0.3,collusive_scale,"0,2,6",239,collusive_scale@0.3
MultiKrum,0.8351633078526755,0.6086460295742288,0.8303593215178423,0.6086460295742288,0.5920179790101519,0.9592211438965518,0.09155935773209818,0.3616827886591234,30.442256450653076,17.28973388671875,22662,0.3,collusive_scale,"0,2,6",239,collusive_scale@0.3
Async-Stale,0.5872133425990271,0.653943501078318,0.6343854193778841,0.653943501078318,0.5305410601086137,0.9487492118466196,0.08232789638748429,1.0738926415464178,26.224354028701782,14.52337646484375,22662,0.3,collusive_scale,"0,2,6",239,collusive_scale@0.3
RawTrust,0.8095621959694232,0.5273205396645352,0.731854466516118,0.5273205396645352,0.48877469501986703,0.954626289632254,0.1098051338402125,0.6779249050698736,26.141481399536133,14.52337646484375,22662,0.3,collusive_scale,"0,2,6",239,collusive_scale@0.3
AgriTrust-ACFL,0.8081723419041,0.5012046238269047,0.562038195025172,0.5012046238269047,0.44196185302711694,0.9498237755638885,0.11006685263958776,1.022624073197179,31.9183406829834,14.52337646484375,22662,0.3,collusive_scale,"0,2,6",239,collusive_scale@0.3
FedAvg,0.8097567755385684,0.5342827648627352,0.5641996074158634,0.5342827648627352,0.4988391301480452,0.9451366413147037,0.10999415824405855,0.938950723549416,31.210991382598877,17.28973388671875,22662,0.3,adaptive_slow_drift,"0,2,6",239,adaptive_slow_drift@0.3
CoordMedian,0.8103405142460042,0.5268155079182465,0.6987121551274397,0.5268155079182465,0.4855245935562394,0.951164515811619,0.10896700314347631,0.4233028876128478,31.375300407409668,17.28973388671875,22662,0.3,adaptive_slow_drift,"0,2,6",239,adaptive_slow_drift@0.3
